year,state,state_po,candidate,party,writein,candidatevotes
1976,KANSAS,KS,"CARTER, JIMMY",DEMOCRAT,False,430422
1976,KANSAS,KS,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,13186
1976,KANSAS,KS,"ANDERSON, THOMAS J.",AMERICAN,False,4725
1976,KANSAS,KS,"MACBRIDE, ROGER",INDEPENDENT,False,3243
1976,KANSAS,KS,"MADDOX, LESTER",CONSERVATIVE,False,2119
1976,KANSAS,KS,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,1404
1976,KENTUCKY,KY,"CARTER, JIMMY",DEMOCRAT,False,615718
1976,KENTUCKY,KY,"FORD, GERALD",REPUBLICAN,False,531853
1976,KENTUCKY,KY,"ANDERSON, THOMAS J.",AMERICAN,False,8309
1976,KENTUCKY,KY,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,6838
1976,KENTUCKY,KY,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,2329
1976,KENTUCKY,KY,"MACBRIDE, ROGER",LIBERTARIAN,False,815
1976,KENTUCKY,KY,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,511
1976,KENTUCKY,KY,"HALL, GUS",COMMUNIST PARTY USE,False,427
1976,KENTUCKY,KY,"CAMEJO, PETER",SOCIALIST WORKERS,False,351
1976,LOUISIANA,LA,"CARTER, JIMMY",DEMOCRAT,False,661366
1976,LOUISIANA,LA,"FORD, GERALD",REPUBLICAN,False,587447
1976,LOUISIANA,LA,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,10059
1976,LOUISIANA,LA,"HALL, GUS",COMMUNIST PARTY USE,False,7418
1976,LOUISIANA,LA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,6491
1976,LOUISIANA,LA,"MACBRIDE, ROGER",LIBERTARIAN,False,3135
1976,LOUISIANA,LA,"CAMEJO, PETER",SOCIALIST WORKERS,False,1474
1976,MAINE,ME,"FORD, GERALD",REPUBLICAN,False,236321
1976,MAINE,ME,"CARTER, JIMMY",DEMOCRAT,False,232280
1976,MAINE,ME,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,10875
1976,MAINE,ME,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,3496
1976,MARYLAND,MD,"CARTER, JIMMY",DEMOCRAT,False,759613
1976,MARYLAND,MD,"FORD, GERALD",REPUBLICAN,False,672662
1976,MASSACHUSETTS,MA,"CARTER, JIMMY",DEMOCRAT,False,1429476
1976,MASSACHUSETTS,MA,"FORD, GERALD",REPUBLICAN,False,1030277
1976,MASSACHUSETTS,MA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,65638
1976,MASSACHUSETTS,MA,"CAMEJO, PETER",SOCIALIST WORKERS,False,8139
1976,MASSACHUSETTS,MA,"ANDERSON, THOMAS J.",AMERICAN,False,7556
1976,MASSACHUSETTS,MA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,4923
1976,MASSACHUSETTS,MA,SCATTERING,,False,1402
1976,MASSACHUSETTS,MA,"MACBRIDE, ROGER",LIBERTARIAN,False,136
1976,MASSACHUSETTS,MA,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,20
1976,MICHIGAN,MI,"FORD, GERALD",REPUBLICAN,False,1893743
1976,MICHIGAN,MI,"CARTER, JIMMY",DEMOCRAT,False,1696715
1976,MICHIGAN,MI,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,47906
1976,MICHIGAN,MI,"MACBRIDE, ROGER",LIBERTARIAN,False,5408
1976,MICHIGAN,MI,"WRIGHT, MARGARET",HUMAN RIGHTS,False,3505
1976,MICHIGAN,MI,"CAMEJO, PETER",SOCIALIST WORKERS,False,1805
1976,MICHIGAN,MI,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1367
1976,MICHIGAN,MI,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,1149
1976,MINNESOTA,MN,"CARTER, JIMMY",DEMOCRAT,False,1070441
1976,MINNESOTA,MN,"FORD, GERALD",REPUBLICAN,False,819396
1976,MINNESOTA,MN,"MCCARTHY, EUGENE """"GENE""""",MCCARTHY '76,False,35491
1976,MINNESOTA,MN,"ANDERSON, THOMAS J.",AMERICAN,False,13593
1976,MINNESOTA,MN,"CAMEJO, PETER",SOCIALIST WORKERS,False,4150
1976,MINNESOTA,MN,"MACBRIDE, ROGER",LIBERTARIAN,False,3530
1976,MINNESOTA,MN,"HALL, GUS",COMMUNIST PARTY USE,False,1093
1976,MINNESOTA,MN,"WRIGHT, MARGARET",PEOPLE'S,False,636
1976,MINNESOTA,MN,"LAROUCHE, LYNDON, JR.",INTERNATIONAL DEVELOPMENT BANK,False,544
1976,MINNESOTA,MN,"JULIUS """"JULES"""", LEVIN",INDUSTRIAL GOVERNMENT PARTY,False,371
1976,MINNESOTA,MN,"ZEIDLER, FRANK",SOCIALIST,False,355
1976,MINNESOTA,MN,,,True,343
1976,MISSISSIPPI,MS,"CARTER, JIMMY",DEMOCRAT,False,381330
1976,MISSISSIPPI,MS,"FORD, GERALD",REPUBLICAN,False,366847
1976,MISSISSIPPI,MS,"ANDERSON, THOMAS J.",AMERICAN,False,6679
1976,MISSISSIPPI,MS,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,4075
1976,MISSISSIPPI,MS,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,4050
1976,MISSISSIPPI,MS,"CAMEJO, PETER",SOCIALIST WORKERS,False,2806
1976,MISSISSIPPI,MS,"MACBRIDE, ROGER",LIBERTARIAN,False,2610
1976,MISSOURI,MO,"CARTER, JIMMY",DEMOCRAT,False,998388
1976,MISSOURI,MO,"FORD, GERALD",REPUBLICAN,False,927444
1976,MISSOURI,MO,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,24030
1976,MISSOURI,MO,OTHER,,False,3742
1976,MONTANA,MT,"FORD, GERALD",REPUBLICAN,False,173704
1976,MONTANA,MT,"CARTER, JIMMY",DEMOCRAT,False,149260
1976,MONTANA,MT,"ANDERSON, THOMAS J.",AMERICAN,False,5773
1976,NEBRASKA,NE,"FORD, GERALD",REPUBLICAN,False,359220
1976,NEBRASKA,NE,"CARTER, JIMMY",DEMOCRAT,False,233294
1976,NEBRASKA,NE,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,9384
1976,NEBRASKA,NE,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,3379
1976,NEBRASKA,NE,"MACBRIDE, ROGER",LIBERTARIAN,False,1477
1976,NEVADA,NV,"FORD, GERALD",REPUBLICAN,False,101274
1976,NEVADA,NV,"CARTER, JIMMY",DEMOCRAT,False,92480
1976,NEVADA,NV,OTHER,,False,5109
1976,NEVADA,NV,"MACBRIDE, ROGER",LIBERTARIAN,False,1520
1976,NEVADA,NV,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,1498
1976,NEW HAMPSHIRE,NH,"FORD, GERALD",REPUBLICAN,False,185936
1976,NEW HAMPSHIRE,NH,"CARTER, JIMMY",DEMOCRAT,False,147646
1976,NEW HAMPSHIRE,NH,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,4096
1976,NEW HAMPSHIRE,NH,"MACBRIDE, ROGER",LIBERTARIAN,False,937
1976,NEW HAMPSHIRE,NH,SCATTERING,,False,604
1976,NEW HAMPSHIRE,NH,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,187
1976,NEW HAMPSHIRE,NH,"CAMEJO, PETER",SOCIALIST WORKERS,False,162
1976,NEW HAMPSHIRE,NH,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,67
1976,NEW JERSEY,NJ,"FORD, GERALD",REPUBLICAN,False,1509689
1976,NEW JERSEY,NJ,"CARTER, JIMMY",DEMOCRAT,False,1444654
1976,NEW JERSEY,NJ,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,32718
1976,NEW JERSEY,NJ,"MACBRIDE, ROGER",LIBERTARIAN,False,9450
1976,NEW JERSEY,NJ,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,7717
1976,NEW JERSEY,NJ,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,3687
1976,NEW JERSEY,NJ,"HALL, GUS",COMMUNIST PARTY USE,False,1663
1976,NEW JERSEY,NJ,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1651
1976,NEW JERSEY,NJ,"CAMEJO, PETER",SOCIALIST WORKERS,False,1185
1976,NEW JERSEY,NJ,"WRIGHT, MARGARET",PEACE & FREEDOM,False,1045
1976,NEW JERSEY,NJ,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,555
1976,NEW JERSEY,NJ,"ZEIDLER, FRANK",SOCIALIST,False,470
1976,NEW MEXICO,NM,"FORD, GERALD",REPUBLICAN,False,211420
1976,NEW MEXICO,NM,"CARTER, JIMMY",DEMOCRAT,False,201149
1976,NEW MEXICO,NM,"CAMEJO, PETER",SOCIALIST WORKERS,False,2463
1976,NEW MEXICO,NM,"MACBRIDE, ROGER",LIBERTARIAN,False,1111
1976,NEW MEXICO,NM,"ZEIDLER, FRANK",SOCIALIST,False,241
1976,NEW MEXICO,NM,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,212
1976,NEW YORK,NY,"CARTER, JIMMY",DEMOCRAT,False,3244166
1976,NEW YORK,NY,"FORD, GERALD",REPUBLICAN,False,2825914
1976,NEW YORK,NY,"FORD, GERALD",CONSERVATIVE,False,274879
1976,NEW YORK,NY,"CARTER, JIMMY",LIBERAL PARTY,False,145394
1976,NEW YORK,NY,OTHER,,False,143038
1976,NEW YORK,NY,"MACBRIDE, ROGER",FREE LIBERTARIAN,False,12198
1976,NEW YORK,NY,"HALL, GUS",COMMUNIST PARTY USE,False,10271
1976,NEW YORK,NY,"CAMEJO, PETER",SOCIALIST WORKERS,False,6997
1976,NEW YORK,NY,"LAROUCHE, LYNDON, JR.",LABOR,False,5414
1976,NORTH CAROLINA,NC,"CARTER, JIMMY",DEMOCRAT,False,927366
1976,NORTH CAROLINA,NC,"FORD, GERALD",REPUBLICAN,False,741961
1976,NORTH CAROLINA,NC,"ANDERSON, THOMAS J.",AMERICAN,False,5608
1976,NORTH CAROLINA,NC,"MACBRIDE, ROGER",LIBERTARIAN,False,2220
1976,NORTH CAROLINA,NC,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,756
1976,NORTH DAKOTA,ND,"FORD, GERALD",REPUBLICAN,False,153685
1976,NORTH DAKOTA,ND,"CARTER, JIMMY",DEMOCRAT,False,136079
1976,NORTH DAKOTA,ND,"ANDERSON, THOMAS J.",AMERICAN,False,3699
1976,NORTH DAKOTA,ND,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,2953
1976,NORTH DAKOTA,ND,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,270
1976,NORTH DAKOTA,ND,"MACBRIDE, ROGER",LIBERTARIAN,False,257
1976,NORTH DAKOTA,ND,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,143
1976,NORTH DAKOTA,ND,"HALL, GUS",COMMUNIST PARTY USE,False,86
1976,NORTH DAKOTA,ND,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,64
1976,NORTH DAKOTA,ND,"CAMEJO, PETER",SOCIALIST WORKERS,False,44
1976,NORTH DAKOTA,ND,"ZEIDLER, FRANK",SOCIALIST,False,39
1976,OHIO,OH,"CARTER, JIMMY",DEMOCRAT,False,2009960
1976,OHIO,OH,"FORD, GERALD",REPUBLICAN,False,2000627
1976,OHIO,OH,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,58268
1976,OHIO,OH,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,15509
1976,OHIO,OH,"MACBRIDE, ROGER",LIBERTARIAN,False,8953
1976,OHIO,OH,"HALL, GUS",COMMUNIST PARTY USE,False,7818
1976,OHIO,OH,"CAMEJO, PETER",SOCIALIST WORKERS,False,4834
1976,OHIO,OH,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,4365
1976,OHIO,OH,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,69
1976,OHIO,OH,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,63
1976,OKLAHOMA,OK,"FORD, GERALD",REPUBLICAN,False,545709
1976,OKLAHOMA,OK,"CARTER, JIMMY",DEMOCRAT,False,532443
1976,OKLAHOMA,OK,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,14102
1976,OREGON,OR,"FORD, GERALD",REPUBLICAN,False,492121
1976,OREGON,OR,"CARTER, JIMMY",DEMOCRAT,False,490408
1976,OREGON,OR,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,40208
1976,OREGON,OR,,,True,6108
1976,OREGON,OR,"ANDERSON, THOMAS J.",AMERICAN,False,1036
1976,PENNSYLVANIA,PA,"CARTER, JIMMY",DEMOCRAT,False,2328678
1976,PENNSYLVANIA,PA,"FORD, GERALD",REPUBLICAN,False,2205605
1976,PENNSYLVANIA,PA,"MCCARTHY, EUGENE """"GENE""""",MCCARTHY '76,False,50585
1976,PENNSYLVANIA,PA,"MADDOX, LESTER",CONSTITUTION PARTY,False,25345
1976,PENNSYLVANIA,PA,"CAMEJO, PETER",SOCIALIST WORKERS,False,3010
1976,PENNSYLVANIA,PA,OTHER,,False,2935
1976,PENNSYLVANIA,PA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,2745
1976,PENNSYLVANIA,PA,"HALL, GUS",COMMUNIST PARTY USE,False,1892
1976,RHODE ISLAND,RI,"CARTER, JIMMY",DEMOCRAT,False,227637
1976,RHODE ISLAND,RI,"FORD, GERALD",REPUBLICAN,False,181250
1976,RHODE ISLAND,RI,"MACBRIDE, ROGER",LIBERTARIAN,False,716
1976,RHODE ISLAND,RI,"CAMEJO, PETER",SOCIALIST WORKERS,False,463
1976,RHODE ISLAND,RI,"HALL, GUS",COMMUNIST PARTY USE,False,335
1976,RHODE ISLAND,RI,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,189
1976,SOUTH CAROLINA,SC,"CARTER, JIMMY",DEMOCRAT,False,450808
1976,SOUTH CAROLINA,SC,"FORD, GERALD",REPUBLICAN,False,346150
1976,SOUTH CAROLINA,SC,"ANDERSON, THOMAS J.",AMERICAN,False,2997
1976,SOUTH CAROLINA,SC,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,1951
1976,SOUTH CAROLINA,SC,,,True,682
1976,SOUTH DAKOTA,SD,"FORD, GERALD",REPUBLICAN,False,151506
1976,SOUTH DAKOTA,SD,"CARTER, JIMMY",DEMOCRAT,False,147069
1976,SOUTH DAKOTA,SD,"MACBRIDE, ROGER",LIBERTARIAN,False,1620
1976,SOUTH DAKOTA,SD,"HALL, GUS",COMMUNIST PARTY USE,False,319
1976,SOUTH DAKOTA,SD,"CAMEJO, PETER",SOCIALIST WORKERS,False,169
1976,TENNESSEE,TN,"CARTER, JIMMY",DEMOCRAT,False,825880
1976,TENNESSEE,TN,"FORD, GERALD",REPUBLICAN,False,633970
1976,TENNESSEE,TN,"ANDERSON, THOMAS J.",INDEPENDENT,False,5770
1976,TENNESSEE,TN,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,5005
1976,TENNESSEE,TN,"MADDOX, LESTER",INDEPENDENT,False,2304
1976,TENNESSEE,TN,"MACBRIDE, ROGER",INDEPENDENT,False,1376
1976,TENNESSEE,TN,"HALL, GUS",INDEPENDENT,False,548
1976,TENNESSEE,TN,"LAROUCHE, LYNDON, JR.",INDEPENDENT,False,513
1976,TENNESSEE,TN,"BUBAR, BENJAMIN """"BEN""""",INDEPENDENT,False,443
1976,TENNESSEE,TN,,INDEPENDENT,False,317
1976,TENNESSEE,TN,,,True,231
1976,TEXAS,TX,"CARTER, JIMMY",DEMOCRAT,False,2082320
1976,TEXAS,TX,"FORD, GERALD",REPUBLICAN,False,1953301
1976,TEXAS,TX,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,20119
1976,TEXAS,TX,"ANDERSON, THOMAS J.",AMERICAN,False,11443
1976,TEXAS,TX,,,True,2983
1976,TEXAS,TX,"CAMEJO, PETER",SOCIALIST WORKERS,False,1724
1976,UTAH,UT,"FORD, GERALD",REPUBLICAN,False,337909
1976,UTAH,UT,"CARTER, JIMMY",DEMOCRAT,False,182111
1976,UTAH,UT,"ANDERSON, THOMAS J.",AMERICAN,False,13305
1976,UTAH,UT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,3908
1976,UTAH,UT,"MACBRIDE, ROGER",LIBERAL PARTY,False,2439
1976,UTAH,UT,"MADDOX, LESTER",CONCERNED CITIZENS,False,1163
1976,UTAH,UT,"CAMEJO, PETER",INDEPENDENT,False,269
1976,UTAH,UT,"HALL, GUS",INDEPENDENT,False,122
1976,VERMONT,VT,"FORD, GERALD",REPUBLICAN,False,100388
1976,VERMONT,VT,"CARTER, JIMMY",DEMOCRAT,False,77799
1976,VERMONT,VT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,4002
1976,VERMONT,VT,OTHER,,False,1091
1976,VERMONT,VT,"CAMEJO, PETER",SOCIALIST WORKERS,False,431
1976,VERMONT,VT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,197
1976,VIRGINIA,VA,"FORD, GERALD",REPUBLICAN,False,836555
1976,VIRGINIA,VA,"CARTER, JIMMY",DEMOCRAT,False,813897
1976,VIRGINIA,VA,"CAMEJO, PETER",SOCIALIST WORKERS,False,17803
1976,VIRGINIA,VA,"ANDERSON, THOMAS J.",AMERICAN,False,16687
1976,VIRGINIA,VA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,7509
1976,VIRGINIA,VA,"MACBRIDE, ROGER",LIBERTARIAN,False,4649
1976,WASHINGTON,WA,"FORD, GERALD",REPUBLICAN,False,777733
1976,WASHINGTON,WA,"CARTER, JIMMY",DEMOCRAT,False,717324
1976,WASHINGTON,WA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,36987
1976,WASHINGTON,WA,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,8586
1976,WASHINGTON,WA,OTHER,,False,5483
1976,WASHINGTON,WA,"MACBRIDE, ROGER",LIBERTARIAN,False,5043
1976,WASHINGTON,WA,"ANDERSON, THOMAS J.",CONSTITUTION PARTY,False,1047
1976,WASHINGTON,WA,"CAMEJO, PETER",SOCIALIST WORKERS,False,906
1976,WASHINGTON,WA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,904
1976,WASHINGTON,WA,"HALL, GUS",COMMUNIST PARTY USE,False,818
1976,WASHINGTON,WA,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,714
1976,WEST VIRGINIA,WV,"CARTER, JIMMY",DEMOCRAT,False,435865
1976,WEST VIRGINIA,WV,"FORD, GERALD",REPUBLICAN,False,314727
1976,WISCONSIN,WI,"CARTER, JIMMY",DEMOCRAT,False,1040233
1976,WISCONSIN,WI,"FORD, GERALD",REPUBLICAN,False,1004988
1976,WISCONSIN,WI,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,34944
1976,WISCONSIN,WI,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,8553
1976,WISCONSIN,WI,"ZEIDLER, FRANK",SOCIALIST,False,4299
1976,WISCONSIN,WI,"MACBRIDE, ROGER",LIBERTARIAN,False,3815
1976,WISCONSIN,WI,OTHER,,False,2431
1976,WISCONSIN,WI,"CAMEJO, PETER",SOCIALIST WORKERS,False,1692
1976,WISCONSIN,WI,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,390
1976,WYOMING,WY,"FORD, GERALD",REPUBLICAN,False,92718
1976,WYOMING,WY,"CARTER, JIMMY",DEMOCRAT,False,62240
1976,WYOMING,WY,,,True,1388
1980,ALABAMA,AL,"REAGAN, RONALD",REPUBLICAN,False,654193
1980,ALABAMA,AL,"CARTER, JIMMY",DEMOCRAT,False,636731
