date,delay,destination,distance,Distance,origin
2/5/2001 10:10,-2,SEA,1107,,PHX
2/19/2001 20:15,-8,DAL,248,,SAT
3/16/2001 19:10,4,PBI,883,,BWI
1/19/2001 15:10,-5,LAS,,345,RNO
1/9/2001 21:00,-12,LAX,,677,ABQ
2/19/2001 19:39,10,PHX,,325,ONT
1/11/2001 08:20,-8,PVD,842,,MDW
3/2/2001 15:05,11,MHT,938,,BNA
2/15/2001 20:20,107,SDF,1506,,PHX
1/9/2001 08:00,-11,OAK,,671,SEA
2/1/2001 10:08,104,MCI,1236,,MHT
3/20/2001 12:20,6,SAT,,496,ELP
3/31/2001 17:30,-3,PHX,370,,LAX
1/15/2001 11:30,2,SJC,,308,LAX
2/24/2001 11:05,-5,PVD,,1073,MCO
3/8/2001 18:38,39,SJC,,333,ONT
2/8/2001 19:40,14,AUS,528,,ELP
1/16/2001 19:20,-1,DAL,,237,TUL
3/29/2001 20:05,72,MSY,321,,BHM
1/5/2001 08:24,14,OKC,,462,STL
1/8/2001 09:25,5,TUL,,237,DAL
1/30/2001 18:00,-5,FLL,,178,MCO
3/25/2001 12:00,-1,GEG,,224,SEA
2/26/2001 12:50,60,BNA,670,,HOU
2/22/2001 12:25,36,ELP,,714,LAX
1/27/2001 13:50,0,BNA,,907,PVD
1/31/2001 19:05,0,BUR,296,,SJC
3/13/2001 08:10,-13,LAS,236,,LAX
1/7/2001 06:50,23,HOU,570,,BHM
2/16/2001 12:29,3,SFO,,447,SAN
2/10/2001 08:30,0,OAK,,446,SAN
2/20/2001 22:15,-5,LAX,308,,SJC
1/14/2001 07:25,-18,TUL,935,,PHX
2/7/2001 17:20,-2,MDW,423,,OMA
3/2/2001 09:24,-1,SAN,,446,OAK
3/16/2001 17:29,26,CMH,,284,MDW
3/18/2001 16:42,30,RNO,,345,LAS
3/13/2001 19:03,14,ABQ,889,,OAK
3/24/2001 21:12,31,MSY,,303,HOU
1/4/2001 08:20,-3,SLC,422,,RNO
1/3/2001 17:50,40,MCI,,313,OKC
1/30/2001 17:15,-1,LAX,,370,PHX
2/13/2001 16:35,12,ABQ,,718,MCI
1/2/2001 18:35,7,BUR,,369,PHX
3/8/2001 16:35,-3,OAK,,325,BUR
1/7/2001 18:25,70,JAN,,359,HOU
3/29/2001 22:10,-9,ONT,,325,PHX
1/18/2001 08:14,58,STL,237,,MCI
2/1/2001 10:10,0,MCO,178,,FLL
1/10/2001 12:15,40,SJC,417,,SAN
1/19/2001 08:30,3,SJC,,342,SNA
1/19/2001 13:11,0,SLC,,507,PHX
2/28/2001 19:13,45,MDW,,405,MCI
3/27/2001 19:45,-5,BUR,,358,SMF
2/13/2001 17:25,10,MCI,313,,OKC
3/5/2001 19:35,-5,MCI,,313,OKC
1/26/2001 06:30,0,STL,,237,MCI
1/13/2001 15:18,2,RNO,188,,SJC
2/17/2001 06:20,0,MSY,,303,HOU
1/25/2001 09:15,4,LAX,,1242,AUS
2/24/2001 10:20,-3,HOU,,359,JAN
3/17/2001 18:25,-3,BNA,,395,MDW
1/31/2001 07:00,7,PHX,1506,,SDF
2/15/2001 12:45,10,TPA,,1137,PVD
3/8/2001 08:15,7,OAK,,325,BUR
2/1/2001 18:35,-5,SDF,254,,STL
3/20/2001 20:50,-20,AUS,,756,BNA
1/24/2001 09:10,-11,BHM,410,,STL
3/25/2001 09:25,-5,RNO,,180,OAK
1/30/2001 07:15,5,FLL,,318,JAX
3/15/2001 13:50,33,CLE,,448,BNA
2/28/2001 13:20,15,AUS,,756,BNA
2/1/2001 16:50,-5,BUR,325,,OAK
3/19/2001 15:05,-9,TUS,365,,LAS
2/25/2001 21:15,2,RDU,,255,BWI
1/24/2001 20:30,-13,JAX,,663,BWI
2/19/2001 10:30,-2,BUF,,281,BWI
2/28/2001 22:00,25,DAL,239,,HOU
2/5/2001 13:29,20,OAK,,361,ONT
3/29/2001 17:38,22,BNA,,588,BWI
1/13/2001 07:10,-31,MSY,,1599,SAN
2/18/2001 09:25,-9,BWI,288,,ALB
1/22/2001 11:35,-15,STL,410,,CMH
2/10/2001 07:15,2,TPA,842,,BWI
3/8/2001 16:05,3,FLL,,318,JAX
1/19/2001 13:40,55,BOI,,344,PDX
2/4/2001 17:30,-3,GEG,,279,PDX
3/22/2001 20:25,4,PHX,,304,SAN
1/19/2001 14:27,37,DTW,,457,BNA
2/19/2001 17:52,40,PHX,,647,SMF
2/25/2001 19:00,28,TPA,,460,BHM
2/17/2001 09:06,0,SAT,,248,DAL
3/7/2001 19:30,-11,OAK,588,,SLC
3/6/2001 18:10,0,LAS,,256,PHX
3/21/2001 06:15,-20,MDW,838,,MHT
2/10/2001 16:05,0,RDU,,255,BWI
2/13/2001 07:10,-10,LAS,,866,SEA
3/18/2001 15:00,22,BWI,,1342,AUS
1/15/2001 21:41,24,HOU,303,,MSY
3/28/2001 06:30,8,DAL,324,,AMA
1/14/2001 17:15,14,LAX,,236,LAS
2/4/2001 14:20,3,STL,1262,,PHX
3/4/2001 08:45,-6,LBB,293,,DAL
1/14/2001 08:07,8,LAX,1797,,BNA
2/27/2001 12:15,-5,BHM,478,,MCO
3/12/2001 13:05,39,MSY,321,,BHM
1/15/2001 06:30,12,STL,,251,MDW
3/12/2001 05:30,-10,LAX,,236,LAS
1/5/2001 12:15,0,BHM,478,,MCO
1/19/2001 17:45,32,MDW,162,,IND
3/4/2001 13:44,17,PVD,1137,,TPA
2/26/2001 07:00,-2,SJC,,296,BUR
3/18/2001 21:59,40,LAX,,677,ABQ
2/12/2001 21:05,27,IAH,217,,DAL
1/28/2001 07:50,-10,MCI,1363,,LAX
2/22/2001 20:10,-5,HOU,,192,SAT
1/27/2001 15:56,-11,LAS,1618,,BHM
1/26/2001 15:30,41,OAK,,325,BUR
2/12/2001 11:50,8,BWI,328,,PVD
3/21/2001 18:33,18,MHT,377,,BWI
3/24/2001 11:10,4,BHM,321,,MSY
3/14/2001 17:20,-3,LAS,,345,RNO
2/6/2001 06:55,-12,MCI,,1481,PDX
1/10/2001 07:40,0,STL,,251,MDW
3/5/2001 20:40,7,MDW,395,,BNA
3/2/2001 08:17,7,MCO,178,,FLL
3/27/2001 09:46,67,LAX,,236,LAS
2/16/2001 06:30,-7,PHX,304,,SAN
1/16/2001 06:58,10,RNO,,390,LAX
3/4/2001 07:05,-12,SDF,727,,TPA
2/6/2001 19:42,18,MDW,,251,STL
1/8/2001 06:45,8,BHM,,460,TPA
3/23/2001 12:55,11,SJC,,333,ONT
2/15/2001 12:25,2,ONT,,325,PHX
2/13/2001 12:15,-9,BNA,852,,BDL
3/1/2001 12:25,-3,LAX,,714,ELP
2/28/2001 16:35,-23,BWI,912,,LIT
3/3/2001 09:50,-7,SJC,1479,,MCI
2/19/2001 19:30,-15,STL,,687,HOU
1/17/2001 12:15,10,DAL,,239,HOU
3/26/2001 10:52,1,LAS,,258,SAN
2/17/2001 19:30,-7,BWI,,967,MCI
1/16/2001 07:20,5,MDW,,611,BWI
2/8/2001 09:05,-3,ABQ,,759,HOU
3/24/2001 10:45,0,HOU,,453,TUL
2/23/2001 11:10,7,MDW,,284,CMH
3/16/2001 06:15,0,DAL,562,,ELP
2/23/2001 17:30,-9,BWI,588,,BNA
1/22/2001 15:55,-12,LAX,590,,SLC
1/17/2001 20:20,-8,MCO,,880,STL
1/9/2001 17:25,-5,ONT,,361,OAK
3/14/2001 09:00,-6,LAX,370,,PHX
1/7/2001 07:25,-7,BNA,,491,MCI
2/15/2001 13:00,85,LAS,,256,PHX
1/3/2001 10:11,42,SAN,,304,PHX
2/10/2001 12:40,-4,PHX,843,,SAT
1/17/2001 15:30,0,LAS,,796,MAF
3/24/2001 19:07,20,DAL,,189,AUS
3/30/2001 18:52,21,STL,,254,SDF
2/1/2001 06:40,7,OAK,,446,SAN
3/5/2001 08:04,7,LAX,370,,PHX
3/22/2001 13:40,-5,GEG,,224,SEA
3/18/2001 10:44,0,SAN,446,,OAK
3/7/2001 14:32,65,HOU,1020,,PHX
1/9/2001 08:30,8,SJC,342,,SNA
2/12/2001 15:20,-6,STL,,254,SDF
2/2/2001 12:08,-10,LAX,236,,LAS
2/2/2001 18:21,18,FLL,178,,MCO
3/13/2001 06:55,-7,HOU,,187,CRP
2/18/2001 13:25,-6,BWI,737,,STL
1/31/2001 12:00,-10,OAK,,337,LAX
1/23/2001 10:20,-13,OKC,,833,PHX
3/29/2001 14:22,-3,PVD,,328,BWI
2/11/2001 22:30,85,SJC,386,,LAS
2/10/2001 07:00,0,CLE,,307,MDW
2/11/2001 20:33,7,JAN,,359,HOU
3/14/2001 12:05,25,SAN,417,,SJC
3/13/2001 09:35,5,MSY,,471,BNA
3/16/2001 13:45,37,JAX,,318,FLL
3/5/2001 09:27,15,MDW,,395,BNA
2/3/2001 07:53,4,LAS,1521,,MDW
3/12/2001 16:45,-5,HOU,1235,,LAS
1/13/2001 08:10,-3,LAS,,197,ONT
3/11/2001 12:50,13,TPA,,587,RDU
1/26/2001 11:52,25,RNO,,444,PDX
3/11/2001 12:30,-14,PHX,370,,LAX
3/18/2001 10:05,-10,DAL,181,,OKC
1/16/2001 19:40,8,AUS,,1090,LAS
3/19/2001 14:35,-3,MSY,,303,HOU
2/20/2001 16:35,25,MSY,,487,TPA
1/20/2001 07:00,-2,DAL,319,,MAF
3/7/2001 20:35,-6,PHX,,646,OAK
3/31/2001 21:45,-5,BWI,,588,BNA
1/25/2001 06:25,4,PHX,,328,ABQ
2/17/2001 07:40,9,MCI,,904,RDU
3/4/2001 21:20,-5,STL,462,,OKC
3/8/2001 11:55,-2,SJC,417,,SAN
2/26/2001 11:50,0,OAK,,371,SNA
3/5/2001 12:15,0,OAK,,361,ONT
2/2/2001 08:25,12,CLE,,448,BNA
2/13/2001 10:25,5,MCI,,405,MDW
2/8/2001 20:30,-10,LAX,337,,OAK
1/14/2001 09:30,-3,HOU,,239,DAL
3/24/2001 07:05,8,SLC,588,,OAK
1/30/2001 18:15,20,BNA,,395,MDW
3/12/2001 18:10,6,MDW,,777,BDL
3/19/2001 13:40,-2,BWI,,2106,LAS
1/7/2001 16:20,12,LAS,,258,SAN
2/13/2001 09:22,41,PHX,370,,LAX
3/27/2001 09:55,-12,TUS,,365,LAS
2/3/2001 07:00,-10,MCI,,1072,MCO
2/13/2001 17:45,10,LAS,407,,OAK
1/26/2001 06:40,-10,MDW,,405,MCI
1/2/2001 20:35,20,SJC,621,,PHX
3/3/2001 19:35,-2,MDW,,1444,PHX
2/12/2001 16:05,30,MDW,162,,IND
3/8/2001 17:19,64,HOU,239,,DAL
3/27/2001 09:45,-1,BWI,328,,PVD
2/1/2001 17:05,-5,PVD,,108,ISP
3/15/2001 19:37,14,SMF,,389,ONT
1/4/2001 07:00,-5,PHX,328,,ABQ
3/20/2001 17:35,-10,ELP,295,,LBB
2/23/2001 17:14,117,TUL,,453,HOU
1/31/2001 14:49,19,MCO,,1073,ALB
3/7/2001 18:55,-3,STL,,687,HOU
3/22/2001 08:35,-7,BWI,611,,MDW
3/8/2001 11:00,6,SAT,,248,DAL
3/31/2001 20:40,5,SLC,,590,LAX
1/10/2001 15:30,8,MSY,,321,BHM
3/29/2001 15:58,22,BWI,283,,BDL
1/19/2001 06:30,3,HOU,,239,DAL
2/26/2001 07:35,-4,DTW,229,,MDW
3/19/2001 16:25,-13,PDX,,569,SJC
2/23/2001 22:07,20,MDW,395,,BNA
2/20/2001 14:49,93,BWI,,220,ISP
3/29/2001 11:40,-17,PHX,,1489,IND
1/4/2001 06:25,-7,PHX,,347,ELP
2/15/2001 06:40,-7,MDW,,405,MCI
3/24/2001 16:20,4,BNA,,1448,PHX
1/7/2001 22:22,7,LAX,236,,LAS
1/19/2001 05:35,-7,LAX,236,,LAS
3/13/2001 10:05,6,MSY,,1301,PHX
3/29/2001 12:55,50,PHX,256,,LAS
3/3/2001 15:55,-26,PVD,,2277,PHX
1/25/2001 10:00,7,PHX,,370,LAX
2/3/2001 08:03,0,LAS,,2298,BDL
2/7/2001 16:05,0,GEG,,287,BOI
1/11/2001 20:49,84,SDF,,271,MDW
1/16/2001 21:15,10,IND,515,,BWI
1/5/2001 11:24,30,SLC,,368,LAS
2/10/2001 10:15,0,CRP,,187,HOU
2/14/2001 15:45,2,LAS,,236,LAX
2/27/2001 12:20,2,OAK,407,,LAS
2/2/2001 16:35,17,DAL,,239,HOU
2/1/2001 18:33,20,DAL,,324,AMA
1/28/2001 13:10,56,RNO,180,,OAK
1/5/2001 08:00,-3,BWI,,787,MCO
2/21/2001 14:05,5,BWI,,314,CLE
2/21/2001 12:18,-8,BWI,,611,MDW
3/20/2001 19:45,-2,BWI,288,,ALB
3/11/2001 16:54,28,HOU,,187,CRP
1/9/2001 07:00,-2,IAH,,217,DAL
3/9/2001 18:52,20,ABQ,328,,PHX
2/23/2001 20:58,23,JAX,,663,BWI
2/8/2001 20:08,25,ELP,,347,PHX
1/14/2001 20:43,75,MDW,395,,BNA
1/20/2001 18:45,-10,MDW,405,,MCI
2/2/2001 21:05,10,PDX,630,,SLC
3/24/2001 10:35,-3,STL,,1262,PHX
2/23/2001 09:20,5,BNA,,758,PBI
2/12/2001 15:10,-8,SEA,671,,OAK
3/23/2001 18:52,27,LAX,451,,TUS
3/20/2001 07:30,-5,STL,,237,MCI
2/16/2001 11:30,6,STL,,934,ABQ
1/4/2001 19:30,0,AUS,,189,DAL
2/16/2001 11:45,-3,PHX,1848,,MCO
3/14/2001 07:50,2,PHX,369,,BUR
2/1/2001 16:30,-20,BNA,,756,AUS
2/19/2001 13:22,-1,TUL,,237,DAL
1/1/2001 17:25,14,JAN,359,,HOU
1/18/2001 09:04,14,HRL,,233,SAT
2/16/2001 11:00,24,ABQ,,889,OAK
3/24/2001 09:35,0,STL,,1262,PHX
1/31/2001 11:58,14,STL,,1156,SLC
1/18/2001 21:35,3,BWI,,588,BNA
1/28/2001 10:20,-5,HOU,192,,SAT
3/10/2001 07:15,-32,MSY,,1599,SAN
2/22/2001 14:40,7,LAS,,256,PHX
2/6/2001 18:20,-8,PHX,,1448,BNA
1/31/2001 17:00,-7,ISP,220,,BWI
1/31/2001 14:55,-4,DAL,,437,MSY
1/4/2001 20:25,0,MHT,,938,BNA
2/27/2001 12:22,38,MDW,,251,STL
1/1/2001 12:48,16,PHX,,347,ELP
3/8/2001 17:30,40,HOU,1235,,LAS
3/11/2001 10:10,10,MCO,178,,FLL
1/10/2001 11:10,-1,STL,,251,MDW
2/18/2001 06:25,-13,MDW,,838,MHT
3/16/2001 13:30,-10,DAL,,324,AMA
1/23/2001 21:00,0,ONT,389,,SMF
3/1/2001 17:30,-1,SDF,,718,MCO
2/28/2001 18:30,7,LAS,,1140,MCI
3/20/2001 19:10,-10,BNA,,803,ISP
1/30/2001 14:32,10,ABQ,677,,LAX
1/24/2001 13:50,-3,BWI,,611,MDW
3/23/2001 12:50,67,DAL,,237,TUL
3/5/2001 09:05,-5,HOU,,192,SAT
3/16/2001 10:24,4,OKC,,833,PHX
3/22/2001 12:02,4,MDW,,423,OMA
3/11/2001 06:20,5,SLC,,291,BOI
3/4/2001 08:05,-11,MCI,237,,STL
1/9/2001 07:20,0,BNA,,756,AUS
3/26/2001 14:34,-7,LAS,256,,PHX
1/28/2001 06:40,0,LAS,397,,SMF
2/24/2001 15:25,-15,MCI,,491,BNA
1/1/2001 15:30,-15,LAS,1521,,MDW
3/5/2001 08:25,-15,SJC,621,,PHX
3/4/2001 12:45,-5,TUL,,223,MCI
2/18/2001 09:55,-15,HOU,,303,MSY
1/13/2001 18:05,2,MAF,,294,AUS
1/12/2001 20:29,3,FLL,,178,MCO
1/26/2001 16:50,34,MSY,,487,TPA
1/2/2001 09:30,-8,BWI,,281,BUF
3/27/2001 06:35,-3,LAS,256,,PHX
2/13/2001 10:10,0,LAS,197,,ONT
1/23/2001 18:25,-1,SMF,,1442,MCI
2/7/2001 18:05,-4,BUR,325,,OAK
2/16/2001 08:15,14,MAF,319,,DAL
2/6/2001 16:00,7,SAN,,258,LAS
2/14/2001 07:55,32,PHX,1262,,STL
3/8/2001 13:55,3,BNA,,907,PVD
1/20/2001 09:00,-18,LIT,,544,MDW
3/28/2001 15:50,-3,SNA,,371,OAK
2/10/2001 18:50,0,LBB,,293,DAL
1/22/2001 07:30,-15,HOU,1020,,PHX
1/22/2001 17:35,-5,MCO,880,,STL
3/23/2001 21:55,48,LAX,337,,OAK
3/16/2001 07:05,-7,SLC,,546,GEG
2/23/2001 15:47,21,PHX,,369,BUR
3/25/2001 19:35,-3,SAT,248,,DAL
1/11/2001 12:23,40,STL,,1156,SLC
3/12/2001 19:20,0,SMF,,358,BUR
1/18/2001 16:00,5,PHX,,304,SAN
1/10/2001 21:18,30,MDW,,229,DTW
3/25/2001 14:35,-22,MHT,1142,,MCO
1/12/2001 11:49,12,BDL,,283,BWI
3/13/2001 20:50,0,TPA,612,,BNA
1/31/2001 07:20,-5,TUS,,451,LAX
3/4/2001 13:52,-10,BWI,,2106,LAS
1/23/2001 17:30,-3,DAL,,239,HOU
2/4/2001 08:00,-20,SFO,,447,SAN
3/13/2001 16:00,-3,SAT,,192,HOU
1/2/2001 17:42,22,DAL,,239,HOU
2/2/2001 11:30,27,BNA,612,,TPA
1/8/2001 22:25,60,SFO,,651,PHX
3/22/2001 08:40,-2,MDW,,229,DTW
3/26/2001 21:45,-8,IND,229,,STL
2/15/2001 15:55,2,OAK,,543,PDX
2/8/2001 14:18,13,LAS,,368,SLC
3/21/2001 08:15,0,DAL,,217,IAH
3/8/2001 16:54,13,DAL,,437,MSY
1/18/2001 17:44,20,HOU,239,,DAL
1/11/2001 07:00,-1,MHT,,377,BWI
2/9/2001 11:55,7,OKC,419,,HOU
3/12/2001 11:00,-5,HOU,239,,DAL
3/24/2001 14:45,-7,BWI,1864,,SLC
3/19/2001 14:27,22,MCO,,616,BNA
2/17/2001 11:45,8,ELP,,584,LAS
1/29/2001 08:25,10,ABQ,,677,LAX
3/26/2001 12:00,-14,PHX,,256,LAS
2/18/2001 07:20,5,LAS,,762,PDX
1/24/2001 18:35,-20,SJC,,569,PDX
2/4/2001 13:20,2,PHX,304,,SAN
3/3/2001 18:30,-5,PHX,843,,SAT
1/30/2001 19:55,-5,BWI,,377,MHT
1/12/2001 19:15,123,BHM,570,,HOU
1/7/2001 15:23,-14,BUF,1912,,PHX
2/7/2001 08:30,-2,TUL,,453,HOU
2/12/2001 09:25,-7,BUF,281,,BWI
3/6/2001 16:00,-2,STL,,251,MDW
2/26/2001 13:15,2,HOU,,677,ELP
3/11/2001 14:10,-10,HOU,276,,HRL
1/1/2001 12:39,-2,STL,,251,MDW
1/4/2001 18:17,7,SJC,,417,SAN
3/28/2001 11:45,-9,CLE,,314,BWI
3/2/2001 20:50,-5,TPA,612,,BNA
1/27/2001 16:30,-1,MCO,178,,FLL
1/12/2001 08:40,-8,SEA,224,,GEG
2/22/2001 17:25,10,DAL,248,,SAT
2/17/2001 11:44,23,BNA,,1797,LAX
2/17/2001 12:00,0,LAX,677,,ABQ
2/17/2001 10:07,50,TPA,197,,FLL
1/24/2001 19:45,2,OAK,,1489,MCI
3/31/2001 08:20,-3,BNA,,588,BWI
2/2/2001 21:25,33,STL,351,,TUL
2/5/2001 07:55,-2,SLC,,507,PHX
2/1/2001 06:30,0,LAS,,397,SMF
3/16/2001 18:10,34,MCO,,787,BWI
2/2/2001 14:10,-9,BNA,,670,HOU
1/18/2001 07:25,-4,BWI,281,,BUF
3/21/2001 08:00,-5,MDW,251,,STL
2/12/2001 12:10,-7,SJC,697,,SEA
2/24/2001 17:13,74,ABQ,,328,PHX
2/25/2001 19:50,50,RNO,422,,SLC
1/3/2001 11:00,22,LAX,,337,OAK
1/20/2001 17:00,-5,HOU,192,,SAT
2/21/2001 07:20,0,PVD,108,,ISP
1/30/2001 15:55,-5,TUL,,237,DAL
3/20/2001 09:35,0,IND,828,,MCO
1/20/2001 18:20,-6,ABQ,487,,LAS
3/9/2001 19:45,51,MDW,,611,BWI
1/25/2001 07:05,6,BHM,365,,JAX
3/9/2001 18:58,13,STL,,254,SDF
2/23/2001 12:48,8,HOU,,759,ABQ
3/26/2001 18:35,-7,PBI,,174,TPA
2/24/2001 08:15,-28,MDW,937,,HOU
2/1/2001 08:45,5,HOU,,670,BNA
3/6/2001 07:20,5,SAN,,446,OAK
2/3/2001 13:50,3,BNA,,907,PVD
2/27/2001 07:00,-8,MSY,303,,HOU
3/2/2001 08:45,0,BHM,323,,SDF
3/16/2001 07:25,3,TUL,,935,PHX
2/18/2001 18:35,-4,PDX,543,,OAK
1/17/2001 13:14,7,BUR,,369,PHX
2/24/2001 20:50,9,ELP,,677,HOU
3/7/2001 18:20,12,ABQ,289,,LBB
1/2/2001 20:50,18,BNA,443,,RDU
1/29/2001 21:00,3,BOI,,399,SEA
2/6/2001 09:20,-1,STL,687,,HOU
3/9/2001 19:50,5,LAX,1363,,MCI
3/2/2001 16:30,-7,LAX,,1797,BNA
2/17/2001 11:10,-1,BOI,,287,GEG
3/5/2001 07:40,-1,MSY,,303,HOU
2/23/2001 11:23,37,OAK,325,,BUR
3/27/2001 21:35,-3,ABQ,487,,LAS
1/12/2001 09:10,31,SAN,1751,,BNA
3/1/2001 06:20,-6,BUR,,325,OAK
3/20/2001 06:40,-10,ELP,496,,SAT
1/23/2001 16:10,-1,PBI,,174,TPA
3/7/2001 20:10,0,OMA,423,,MDW
2/12/2001 08:00,3,STL,,251,MDW
3/9/2001 15:30,-5,MSY,,321,BHM
3/18/2001 07:55,-7,SAT,192,,HOU
1/21/2001 22:05,-2,DAL,,248,SAT
1/5/2001 19:50,-7,DAL,217,,IAH
2/19/2001 08:35,2,LAX,,236,LAS
3/13/2001 20:30,0,LAX,,370,PHX
1/3/2001 07:00,-15,HOU,1235,,LAS
3/18/2001 08:30,5,PHX,,370,LAX
1/7/2001 12:50,23,LBB,293,,DAL
3/16/2001 12:17,10,LAS,,223,BUR
1/28/2001 16:15,-9,SAN,480,,SMF
1/16/2001 14:25,66,LAX,677,,ABQ
2/5/2001 12:50,6,SAN,,367,TUS
1/19/2001 15:00,9,LAX,,370,PHX
1/9/2001 10:35,-5,DAL,,237,TUL
1/3/2001 13:10,-7,DAL,,296,LIT
1/2/2001 09:41,14,MCI,1140,,LAS
3/29/2001 15:17,4,SJC,,342,SNA
2/11/2001 10:55,11,BUR,369,,PHX
2/16/2001 21:35,62,ONT,333,,SJC
3/21/2001 08:00,-5,TPA,,612,BNA
2/5/2001 19:05,2,SNA,,342,SJC
3/14/2001 15:05,5,ONT,,361,OAK
2/7/2001 22:20,-5,SMF,,480,SAN
2/4/2001 12:45,5,SAT,,248,DAL
3/4/2001 08:10,7,HOU,,303,MSY
2/2/2001 11:40,-6,ALB,,288,BWI
3/26/2001 08:00,-7,ONT,,197,LAS
2/25/2001 08:00,-18,SLC,,689,SEA
2/15/2001 09:50,8,LAS,,1501,MSY
2/24/2001 22:25,210,IND,,229,STL
1/3/2001 16:11,63,OAK,407,,LAS
3/30/2001 11:05,25,MCO,1050,,BDL
3/21/2001 19:05,6,CMH,,829,TPA
2/25/2001 09:48,0,SEA,,671,OAK
3/8/2001 06:10,-12,SEA,,399,BOI
3/6/2001 16:55,0,LAS,,258,SAN
1/8/2001 21:53,7,CLE,314,,BWI
1/31/2001 16:05,-1,GEG,,287,BOI
2/20/2001 12:21,0,PVD,,328,BWI
3/5/2001 20:50,-7,SAT,,248,DAL
1/29/2001 09:00,-10,TPA,,1034,ISP
3/12/2001 13:50,19,ELP,584,,LAS
3/7/2001 20:55,13,MHT,377,,BWI
1/1/2001 13:34,31,BOI,344,,PDX
3/22/2001 06:15,-4,DAL,,562,ELP
1/24/2001 17:30,-1,DAL,239,,HOU
3/20/2001 15:10,-10,SEA,,671,OAK
2/28/2001 13:00,52,ELP,347,,PHX
1/3/2001 10:08,2,STL,687,,HOU
3/8/2001 15:30,-5,OAK,,337,LAX
3/21/2001 06:20,0,ONT,,389,SMF
2/13/2001 09:00,-1,ONT,,361,OAK
1/3/2001 13:15,-10,MCO,550,,MSY
3/28/2001 12:45,-11,STL,,869,TPA
2/13/2001 09:40,30,LAS,,256,PHX
1/27/2001 15:15,0,AUS,,993,MCO
3/10/2001 16:40,20,ONT,,389,SMF
1/25/2001 15:21,-7,LAS,,236,LAX
2/6/2001 17:25,5,ABQ,,934,STL
2/4/2001 10:30,9,MCO,,802,CMH
2/15/2001 12:20,-15,MHT,1142,,MCO
1/30/2001 20:02,-15,BWI,,515,IND
2/27/2001 14:15,-8,MDW,229,,DTW
1/30/2001 20:05,55,LAX,,677,ABQ
3/7/2001 08:55,5,SAN,480,,SMF
3/29/2001 19:31,19,SLC,,493,ABQ
1/8/2001 17:40,12,MCO,178,,FLL
