Date,Airline,OriginState,TimeOfDay,Speed
8/2/90,SOUTHWEST AIRLINES,Texas,Day,118
8/3/90,AMERICAN AIRLINES,Texas,Day,212
8/4/90,MILITARY,Louisiana,Day,168
8/4/90,AMERICAN AIRLINES,Illinois,Night,258
8/5/90,AMERICAN AIRLINES,Tennessee,Day,136
8/5/90,US AIRWAYS*,Maryland,Day,81
8/5/90,AMERICAN AIRLINES,Tennessee,Day,138
8/6/90,MILITARY,Louisiana,Day,172
8/6/90,AMERICAN AIRLINES,Texas,Day,124
8/6/90,SOUTHWEST AIRLINES,Texas,Day,104
8/9/90,SOUTHWEST AIRLINES,California,Day,172
8/9/90,AMERICAN AIRLINES,Texas,Day,139
8/9/90,BUSINESS,California,Day,101
8/10/90,HAWAIIAN AIR,California,Night,181
8/12/90,AMERICAN AIRLINES,Arizona,Day,202
8/13/90,AMERICAN AIRLINES,Utah,Day,153
8/15/90,US AIRWAYS*,Tennessee,Day,217
8/15/90,AMERICAN AIRLINES,New York,Day,168
8/16/90,US AIRWAYS*,North Carolina,Day,137
8/16/90,AMERICAN AIRLINES,Tennessee,Day,170
8/17/90,MILITARY,Louisiana,Day,146
8/17/90,AMERICAN AIRLINES,Illinois,Night,172
8/18/90,SOUTHWEST AIRLINES,Tennessee,Day,217
8/18/90,MILITARY,Minnesota,Day,128
8/19/90,AMERICAN AIRLINES,Oklahoma,Day,255
8/19/90,AMERICAN AIRLINES,Nebraska,Day,142
8/20/90,AMERICAN AIRLINES,Texas,Night,152
8/20/90,SOUTHWEST AIRLINES,Texas,Night,251
8/21/90,AMERICAN AIRLINES,Illinois,Day,148
8/22/90,UPS AIRLINES,Kentucky,Night,132
8/23/90,MILITARY,Louisiana,Night,151
8/23/90,SOUTHWEST AIRLINES,Indiana,Day,103
8/24/90,SOUTHWEST AIRLINES,Texas,Day,150
8/24/90,AMERICAN AIRLINES,Pennsylvania,Day,136
8/24/90,AMERICAN AIRLINES,Pennsylvania,Day,149
8/25/90,AMERICAN AIRLINES,Illinois,Day,126
8/25/90,AMERICAN AIRLINES,Texas,Day,135
8/25/90,SKYWEST AIRLINES,California,Night,105
8/27/90,AMERICAN AIRLINES,California,Day,162
8/27/90,UNKNOWN,California,Day,44
8/28/90,FEDEX EXPRESS,Oklahoma,Night,258
8/28/90,SOUTHWEST AIRLINES,Texas,Night,257
8/28/90,AMERICAN AIRLINES,Texas,Day,153
8/28/90,AMERICAN AIRLINES,Texas,Day,259
8/29/90,AMERICAN AIRLINES,Oregon,Day,135
8/29/90,SOUTHWEST AIRLINES,Louisiana,Day,189
8/29/90,AMERICAN AIRLINES,Texas,Night,141
8/30/90,AMERICAN AIRLINES,Tennessee,Day,149
8/30/90,AMERICAN AIRLINES,Texas,Day,212
8/30/90,AMERICAN AIRLINES,Texas,Day,195
8/31/90,AMERICAN AIRLINES,Texas,Day,251
8/31/90,AMERICAN AIRLINES,Illinois,Night,179
8/31/90,AMERICAN AIRLINES,New York,Night,156
8/31/90,AMERICAN AIRLINES,Texas,Day,212
9/1/90,AMERICAN AIRLINES,Texas,Day,143
9/1/90,US AIRWAYS*,North Carolina,Dusk,134
9/1/90,AMERICAN AIRLINES,Michigan,Day,155
9/3/90,SOUTHWEST AIRLINES,Texas,Night,256
9/4/90,DELTA AIR LINES,Georgia,Day,157
9/5/90,US AIRWAYS*,Pennsylvania,Day,185
9/5/90,AMERICAN AIRLINES,Illinois,Dusk,142
9/6/90,AMERICAN AIRLINES,DC,Day,247
9/6/90,AMERICAN AIRLINES,Illinois,Day,138
9/6/90,AMERICAN AIRLINES,Illinois,Day,259
9/6/90,AMERICAN AIRLINES,Tennessee,Dusk,144
9/7/90,AMERICAN AIRLINES,Missouri,Night,149
9/7/90,AMERICAN AIRLINES,Texas,Night,142
9/7/90,BUSINESS,New Jersey,Day,102
9/7/90,US AIRWAYS*,Pennsylvania,Day,123
9/9/90,EXPRESSJET (CONTINENTAL EXPRS),Texas,Dusk,146
9/10/90,AMERICAN AIRLINES,Illinois,Day,156
9/10/90,HAWAIIAN AIR,Hawaii,Night,131
9/10/90,AMERICAN AIRLINES,Louisiana,Day,158
9/10/90,BUSINESS,Oregon,Day,119
9/10/90,US AIRWAYS*,Indiana,Day,103
9/10/90,AMERICAN AIRLINES,DC,Night,167
9/10/90,AMERICAN AIRLINES,New York,Night,161
9/11/90,AMERICAN AIRLINES,North Carolina,Night,166
9/12/90,EXPRESSJET (CONTINENTAL EXPRS),Texas,Dawn,129
9/12/90,AMERICAN AIRLINES,Texas,Day,153
9/12/90,AMERICAN AIRLINES,Georgia,Night,140
9/13/90,UPS AIRLINES,Kentucky,Night,237
9/14/90,COMAIR AIRLINES,Kentucky,Day,135
9/14/90,US AIRWAYS*,Pennsylvania,Day,148
9/14/90,MILITARY,Louisiana,Day,137
9/15/90,SOUTHWEST AIRLINES,Texas,Day,157
9/15/90,US AIRWAYS*,North Carolina,Day,166
9/16/90,AMERICA WEST AIRLINES,California,Day,321
9/16/90,US AIRWAYS*,Ohio,Day,141
9/17/90,AMERICAN AIRLINES,New York,Day,216
9/17/90,AMERICAN AIRLINES,Tennessee,Night,236
9/17/90,HORIZON AIR,Oregon,Day,127
9/18/90,MILITARY,New Jersey,Night,1
9/18/90,AMERICAN AIRLINES,Tennessee,Day,130
9/18/90,AMERICAN AIRLINES,Texas,Day,171
9/18/90,AMERICAN AIRLINES,California,Night,259
9/20/90,MILITARY,Louisiana,Day,110
9/20/90,SOUTHWEST AIRLINES,California,Day,92
9/21/90,UNKNOWN,Texas,Day,116
9/21/90,BUSINESS,Utah,Day,105
9/21/90,BUSINESS,California,Day,11
9/22/90,AMERICAN AIRLINES,Texas,Night,162
9/22/90,AMERICAN AIRLINES,Tennessee,Night,151
9/22/90,AMERICAN AIRLINES,Missouri,Day,127
9/22/90,AMERICAN AIRLINES,Texas,Night,143
9/23/90,BUSINESS,Hawaii,Day,69
9/23/90,AMERICAN AIRLINES,Louisiana,Night,190
9/24/90,AMERICAN AIRLINES,Tennessee,Dusk,142
9/25/90,MILITARY,Louisiana,Night,132
9/25/90,BUSINESS,Michigan,Day,117
9/25/90,AMERICAN AIRLINES,Texas,Day,145
9/25/90,AMERICAN AIRLINES,Tennessee,Dusk,135
9/26/90,MILITARY,New Jersey,Day,159
9/26/90,MESABA AIRLINES,Minnesota,Day,140
9/26/90,AMERICAN AIRLINES,Texas,Day,251
9/27/90,MILITARY,Louisiana,Day,159
9/27/90,AMERICAN AIRLINES,Tennessee,Night,256
9/27/90,AIR CANADA,New Jersey,Night,256
9/27/90,AMERICAN AIRLINES,Illinois,Day,157
9/27/90,AMERICAN AIRLINES,New York,Day,149
9/28/90,UNITED AIRLINES,California,Night,144
9/28/90,AMERICAN AIRLINES,California,Night,188
9/30/90,AMERICAN AIRLINES,Texas,Day,185
9/30/90,AMERICA WEST AIRLINES,Washington,Dusk,148
9/30/90,AMERICAN AIRLINES,Kentucky,Night,144
9/30/90,AMERICAN AIRLINES,Illinois,Night,253
9/30/90,DELTA AIR LINES,Maryland,Day,105
10/1/90,MILITARY,Louisiana,Day,207
10/1/90,AMERICAN AIRLINES,Texas,Day,145
10/2/90,AMERICAN AIRLINES,Florida,Night,143
10/4/90,AMERICAN AIRLINES,Tennessee,Day,146
10/5/90,AMERICAN AIRLINES,Louisiana,Night,168
10/6/90,ALOHA AIRLINES,Hawaii,Night,149
10/7/90,AMERICAN AIRLINES,Texas,Day,167
10/9/90,MILITARY,Louisiana,Night,206
10/10/90,MILITARY,Louisiana,Day,134
10/10/90,MILITARY,Louisiana,Night,192
10/10/90,AMERICAN AIRLINES,New York,Night,190
10/10/90,UNITED AIRLINES,North Carolina,Day,132
10/11/90,AMERICAN AIRLINES,Texas,Night,254
10/11/90,UNKNOWN,Texas,Day,210
10/12/90,US AIRWAYS*,Massachusetts,Day,117
10/12/90,AMERICAN AIRLINES,Texas,Day,206
10/12/90,DELTA AIR LINES,Georgia,Night,177
10/12/90,AMERICAN AIRLINES,Illinois,Night,152
10/12/90,ALOHA AIRLINES,Hawaii,Night,120
10/13/90,ALOHA AIRLINES,Hawaii,Day,103
10/13/90,SOUTHWEST AIRLINES,Texas,Night,215
10/15/90,MILITARY,Louisiana,Day,190
10/15/90,ALOHA AIRLINES,Hawaii,Day,120
10/15/90,AMERICAN AIRLINES,Maryland,Night,234
10/15/90,MILITARY,New Jersey,Night,7
10/15/90,MILITARY,New Jersey,Night,1
10/17/90,AMERICAN AIRLINES,Pennsylvania,Night,150
10/18/90,MILITARY,Louisiana,Day,187
10/18/90,UNITED AIRLINES,Minnesota,Night,172
10/18/90,TRANS WORLD AIRLINES,Minnesota,Night,211
10/19/90,US AIRWAYS*,North Carolina,Night,154
10/19/90,US AIRWAYS*,California,Night,202
10/20/90,HAWAIIAN AIR,Hawaii,Night,134
10/21/90,AMERICAN AIRLINES,Texas,Night,163
10/21/90,AMERICAN AIRLINES,Illinois,Night,151
10/22/90,US AIRWAYS*,North Carolina,Dawn,146
10/22/90,AMERICAN AIRLINES,Georgia,Day,141
10/22/90,AMERICAN AIRLINES,Indiana,Night,214
10/22/90,AMERICAN AIRLINES,Pennsylvania,Night,160
10/22/90,AMERICAN AIRLINES,Michigan,Night,138
10/22/90,AMERICAN AIRLINES,Texas,Night,187
10/23/90,US AIRWAYS*,Kentucky,Night,253
10/23/90,NORTHWEST AIRLINES,New York,Night,154
10/23/90,US AIRWAYS*,Florida,Day,140
10/24/90,CONTINENTAL AIRLINES,New Jersey,Night,168
10/24/90,MILITARY,Hawaii,Day,9
10/24/90,AMERICAN AIRLINES,New York,Night,132
10/24/90,DELTA AIR LINES,New York,Night,224
10/24/90,CONTINENTAL AIRLINES,New Jersey,Night,182
10/24/90,PINNACLE,Tennessee,Night,170
10/24/90,AMERICAN AIRLINES,Texas,Night,146
10/25/90,US AIRWAYS*,DC,Day,121
10/25/90,US AIRWAYS*,DC,Day,128
10/25/90,MILITARY,Hawaii,Day,34
10/25/90,US AIRWAYS*,DC,Night,153
10/25/90,SOUTHWEST AIRLINES,Texas,Night,253
10/25/90,UNKNOWN,New Jersey,Night,191
10/26/90,AMERICAN AIRLINES,DC,Night,133
10/26/90,AMERICAN AIRLINES,Oregon,Night,149
10/27/90,MILITARY,Louisiana,Day,4
10/27/90,AMERICAN AIRLINES,Nebraska,Night,240
10/28/90,US AIRWAYS*,South Carolina,Night,246
10/31/90,MILITARY,Louisiana,Dusk,151
10/31/90,AMERICAN AIRLINES,Texas,Night,157
11/1/90,AMERICAN AIRLINES,DC,Night,152
11/2/90,BUSINESS,Oregon,Dusk,179
11/2/90,AMERICAN AIRLINES,California,Dawn,155
11/2/90,AMERICAN AIRLINES,California,Day,153
11/4/90,AMERICAN AIRLINES,Texas,Night,213
11/4/90,US AIRWAYS*,Florida,Day,133
11/5/90,SOUTHWEST AIRLINES,Texas,Night,236
11/6/90,BUSINESS,Maryland,Night,169
11/6/90,AMERICAN AIRLINES,Tennessee,Night,215
11/6/90,AMERICAN AIRLINES,DC,Night,206
11/7/90,BUSINESS,Missouri,Night,216
11/7/90,MILITARY,Louisiana,Day,160
11/8/90,US AIRWAYS*,New York,Night,236
11/8/90,AMERICAN AIRLINES,New York,Night,219
11/9/90,AMERICAN AIRLINES,Louisiana,Day,145
11/9/90,MILITARY,Louisiana,Night,146
11/9/90,MILITARY,Louisiana,Night,152
11/9/90,UPS AIRLINES,Kentucky,Night,143
11/10/90,AMERICAN AIRLINES,Tennessee,Day,154
11/10/90,ATLANTIC SOUTHEAST,Georgia,Dusk,107
11/11/90,US AIRWAYS*,North Carolina,Day,127
11/12/90,US AIRWAYS*,Pennsylvania,Night,199
11/12/90,AMERICAN AIRLINES,Illinois,Night,184
11/12/90,UNKNOWN,Tennessee,Day,126
11/13/90,AMERICAN AIRLINES,Texas,Day,142
11/14/90,AMERICAN AIRLINES,Texas,Day,135
11/16/90,ALOHA AIRLINES,Hawaii,Day,101
11/16/90,AMERICAN AIRLINES,Texas,Night,248
11/17/90,AMERICAN AIRLINES,Texas,Night,169
11/18/90,AMERICAN AIRLINES,Texas,Day,144
11/19/90,MILITARY,Louisiana,Day,261
11/21/90,AMERICAN AIRLINES,California,Day,144
11/24/90,AIR CANADA,New York,Day,135
11/26/90,US AIRWAYS*,Indiana,Day,189
11/26/90,AMERICAN AIRLINES,New York,Day,129
11/27/90,FEDEX EXPRESS,California,Night,128
11/27/90,AMERICAN AIRLINES,Massachusetts,Day,142
11/28/90,AMERICAN AIRLINES,Texas,Night,252
11/30/90,MILITARY,Louisiana,Day,177
12/3/90,AMERICAN AIRLINES,Tennessee,Night,141
12/3/90,US AIRWAYS*,Missouri,Day,130
12/3/90,MILITARY,Louisiana,Night,153
12/3/90,ALOHA AIRLINES,Hawaii,Day,129
12/4/90,US AIRWAYS*,DC,Dawn,181
12/4/90,UNITED AIRLINES,California,Day,129
12/8/90,AMERICAN AIRLINES,Texas,Day,144
12/9/90,AMERICAN AIRLINES,Oklahoma,Day,134
12/13/90,US AIRWAYS*,Pennsylvania,Day,133
12/17/90,AMERICAN AIRLINES,New York,Night,141
12/17/90,AMERICAN AIRLINES,Texas,Night,142
12/20/90,UNITED AIRLINES,Kentucky,Dusk,143
12/20/90,EXPRESSJET (CONTINENTAL EXPRS),Texas,Dusk,116
12/21/90,US AIRWAYS*,Pennsylvania,Night,254
12/22/90,EXPRESSJET (CONTINENTAL EXPRS),Texas,Day,86
12/24/90,EXPRESSJET (CONTINENTAL EXPRS),Texas,Night,233
1/2/91,AMERICAN AIRLINES,Texas,Night,147
1/4/91,ABX AIR,Nebraska,Night,190
1/5/91,AMERICAN AIRLINES,Texas,Night,159
1/6/91,US AIRWAYS*,New York,Night,131
1/6/91,US AIRWAYS*,New York,Dusk,134
1/7/91,US AIRWAYS*,Pennsylvania,Day,128
1/9/91,ALLEGHENYAIRLINES,Pennsylvania,Day,106
1/14/91,AMERICAN AIRLINES,Texas,Day,129
1/16/91,US AIRWAYS*,Maryland,Night,144
1/19/91,AMERICAN AIRLINES,New York,Day,118
1/21/91,AMERICAN AIRLINES,Louisiana,Night,159
1/22/91,MILITARY,Louisiana,Day,161
1/23/91,AMERICAN AIRLINES,Texas,Day,139
1/23/91,AMERICAN AIRLINES,Texas,Day,146
1/24/91,GOVERNMENT,DC,Day,116
1/31/91,SOUTHWEST AIRLINES,Texas,Night,216
1/31/91,US AIRWAYS*,DC,Day,94
2/5/91,AMERICAN AIRLINES,California,Night,135
2/5/91,BUSINESS,California,Dusk,128
2/7/91,AMERICAN AIRLINES,Texas,Day,153
2/11/91,AMERICAN AIRLINES,Tennessee,Day,146
2/19/91,MILITARY,Louisiana,Day,147
2/22/91,SOUTHWEST AIRLINES,Louisiana,Day,171
2/22/91,NORTHWEST AIRLINES,Tennessee,Night,136
2/23/91,AMERICAN AIRLINES,Texas,Day,219
2/24/91,AMERICA WEST AIRLINES,California,Dusk,138
2/24/91,AMERICAN AIRLINES,Texas,Day,258
2/26/91,AMERICAN AIRLINES,Illinois,Day,140
2/28/91,US AIRWAYS*,Pennsylvania,Night,149
3/5/91,US AIRWAYS*,Indiana,Dusk,141
3/5/91,MILITARY,Louisiana,Night,182
3/6/91,AMERICAN AIRLINES,New Jersey,Day,157
3/7/91,ALOHA AIRLINES,Hawaii,Day,126
3/8/91,FEDEX EXPRESS,Kentucky,Night,211
3/12/91,UNKNOWN,Louisiana,Day,284
3/13/91,MILITARY,South Carolina,Day,103
3/16/91,AMERICAN AIRLINES,Ohio,Day,320
3/18/91,AMERICAN AIRLINES,Texas,Night,252
3/18/91,AMERICAN AIRLINES,Texas,Night,258
3/19/91,AMERICAN AIRLINES,Texas,Night,258
3/19/91,US AIRWAYS*,California,Day,153
3/19/91,GOVERNMENT,Washington,Night,122
3/20/91,PRIVATELY OWNED,North Carolina,Night,99
3/20/91,MILITARY,Louisiana,Day,173
3/20/91,AMERICAN AIRLINES,DC,Night,143
3/21/91,ALLEGHENYAIRLINES,Pennsylvania,Day,119
3/22/91,AMERICAN AIRLINES,Texas,Day,161
3/23/91,AMERICAN AIRLINES,Texas,Day,136
3/24/91,GOVERNMENT,Maryland,Night,95
3/25/91,BUSINESS,Hawaii,Day,47
3/25/91,AMERICAN AIRLINES,Texas,Night,148
3/26/91,US AIRWAYS*,North Carolina,Dusk,160
3/28/91,MILITARY,South Carolina,Day,205
3/28/91,SOUTHWEST AIRLINES,Texas,Day,167
3/29/91,AMERICAN AIRLINES,Illinois,Night,299
3/29/91,AMERICAN AIRLINES,Florida,Night,141
3/29/91,NORTHWEST AIRLINES,Texas,Day,183
3/31/91,UNITED AIRLINES,DC,Night,154
4/4/91,NORTHWEST AIRLINES,California,Night,151
4/6/91,AMERICAN AIRLINES,Texas,Day,128
4/7/91,US AIRWAYS*,Maryland,Day,111
4/7/91,AMERICAN AIRLINES,Texas,Day,145
4/7/91,SKYWEST AIRLINES,California,Day,136
4/8/91,MILITARY,Louisiana,Dusk,132
4/8/91,SOUTHWEST AIRLINES,Texas,Night,245
4/9/91,AMERICAN AIRLINES,New York,Day,201
4/9/91,AMERICAN AIRLINES,Tennessee,Day,120
4/15/91,MILITARY,Louisiana,Night,147
4/15/91,AMERICAN AIRLINES,Florida,Day,149
4/15/91,AIR CANADA,California,Day,140
4/16/91,AMERICAN AIRLINES,Tennessee,Night,214
4/17/91,SOUTHWEST AIRLINES,Illinois,Day,147
4/17/91,AMERICAN AIRLINES,DC,Day,155
4/17/91,MILITARY,Illinois,Night,249
4/17/91,SOUTHWEST AIRLINES,Texas,Night,189
4/18/91,MILITARY,Louisiana,Night,146
4/18/91,DELTA AIR LINES,California,Day,103
4/19/91,AMERICAN AIRLINES,Texas,Day,125
4/21/91,SOUTHWEST AIRLINES,Texas,Night,148
4/22/91,AMERICAN AIRLINES,Nebraska,Night,149
4/23/91,AMERICAN AIRLINES,Texas,Night,148
4/24/91,MILITARY,Louisiana,Day,158
4/24/91,AMERICAN AIRLINES,Texas,Day,161
4/24/91,AMERICAN AIRLINES,Texas,Night,177
4/25/91,UNITED AIRLINES,Missouri,Day,149
4/25/91,AMERICAN AIRLINES,Tennessee,Day,135
4/25/91,ATLANTIC SOUTHEAST,Georgia,Dusk,137
4/28/91,AMERICAN AIRLINES,Indiana,Day,143
4/28/91,SOUTHWEST AIRLINES,Texas,Night,205
5/1/91,SOUTHWEST AIRLINES,Louisiana,Night,152
5/1/91,SOUTHWEST AIRLINES,Louisiana,Night,210
5/2/91,MILITARY,Louisiana,Night,6
5/2/91,SOUTHWEST AIRLINES,California,Night,106
5/3/91,US AIRWAYS*,Texas,Day,144
5/3/91,AMERICAN AIRLINES,Texas,Day,118
5/3/91,CONTINENTAL AIRLINES,Georgia,Night,132
5/4/91,DELTA AIR LINES,Kentucky,Day,183
5/4/91,AMERICAN AIRLINES,Texas,Day,129
5/4/91,AMERICAN AIRLINES,DC,Day,147
5/5/91,AMERICAN AIRLINES,California,Day,230
5/5/91,AMERICAN AIRLINES,Texas,Day,118
5/6/91,AMERICAN AIRLINES,Texas,Day,101
5/6/91,MILITARY,Louisiana,Night,189
