year,month,industry,unemployed,rate
2009,6,Government,991,4.4
2009,7,Government,1129,5.1
2009,8,Government,1118,5.1
2009,9,Government,928,4.2
2009,10,Government,785,3.5
2009,11,Government,748,3.4
2009,12,Government,797,3.6
2010,1,Government,948,4.3
2010,2,Government,880,4.0
2000,1,Mining and Extraction,19,3.9
2000,2,Mining and Extraction,25,5.5
2000,3,Mining and Extraction,17,3.7
2000,4,Mining and Extraction,20,4.1
2000,5,Mining and Extraction,27,5.3
2000,6,Mining and Extraction,13,2.6
2000,7,Mining and Extraction,16,3.6
2000,8,Mining and Extraction,23,5.1
2000,9,Mining and Extraction,25,5.8
2000,10,Mining and Extraction,39,7.8
2000,11,Mining and Extraction,11,2.0
2000,12,Mining and Extraction,20,3.8
2001,1,Mining and Extraction,11,2.3
2001,2,Mining and Extraction,27,5.3
2001,3,Mining and Extraction,14,3.0
2001,4,Mining and Extraction,24,4.7
2001,5,Mining and Extraction,34,5.9
2001,6,Mining and Extraction,26,4.7
2001,7,Mining and Extraction,17,3.1
2001,8,Mining and Extraction,18,3.3
2001,9,Mining and Extraction,23,4.2
2001,10,Mining and Extraction,32,5.4
2001,11,Mining and Extraction,20,3.6
2001,12,Mining and Extraction,27,5.3
2002,1,Mining and Extraction,33,7.0
2002,2,Mining and Extraction,35,7.5
2002,3,Mining and Extraction,28,5.3
2002,4,Mining and Extraction,33,6.1
2002,5,Mining and Extraction,25,4.9
2002,6,Mining and Extraction,35,7.1
2002,7,Mining and Extraction,19,3.9
2002,8,Mining and Extraction,32,6.3
2002,9,Mining and Extraction,42,7.9
2002,10,Mining and Extraction,36,6.4
2002,11,Mining and Extraction,32,5.4
2002,12,Mining and Extraction,45,7.8
2003,1,Mining and Extraction,54,9.0
2003,2,Mining and Extraction,41,7.1
2003,3,Mining and Extraction,46,8.2
2003,4,Mining and Extraction,41,7.7
2003,5,Mining and Extraction,40,7.5
2003,6,Mining and Extraction,36,6.8
2003,7,Mining and Extraction,43,7.9
2003,8,Mining and Extraction,20,3.8
2003,9,Mining and Extraction,25,4.6
2003,10,Mining and Extraction,31,5.6
2003,11,Mining and Extraction,34,5.9
2003,12,Mining and Extraction,32,5.6
2004,1,Mining and Extraction,31,5.8
2004,2,Mining and Extraction,24,5.0
2004,3,Mining and Extraction,22,4.4
2004,4,Mining and Extraction,34,6.4
2004,5,Mining and Extraction,22,4.3
2004,6,Mining and Extraction,27,5.0
2004,7,Mining and Extraction,28,5.4
2004,8,Mining and Extraction,10,1.9
2004,9,Mining and Extraction,8,1.5
2004,10,Mining and Extraction,15,2.6
2004,11,Mining and Extraction,20,3.3
2004,12,Mining and Extraction,16,2.5
2005,1,Mining and Extraction,29,4.9
2005,2,Mining and Extraction,25,4.0
2005,3,Mining and Extraction,32,5.2
2005,4,Mining and Extraction,19,2.9
2005,5,Mining and Extraction,16,2.4
2005,6,Mining and Extraction,25,4.0
2005,7,Mining and Extraction,22,3.7
2005,8,Mining and Extraction,12,2.0
2005,9,Mining and Extraction,12,2.0
2005,10,Mining and Extraction,2,0.3
2005,11,Mining and Extraction,18,2.9
2005,12,Mining and Extraction,23,3.5
2006,1,Mining and Extraction,26,3.9
2006,2,Mining and Extraction,25,3.8
2006,3,Mining and Extraction,14,2.1
2006,4,Mining and Extraction,17,2.5
2006,5,Mining and Extraction,20,2.8
2006,6,Mining and Extraction,31,4.3
2006,7,Mining and Extraction,25,3.5
2006,8,Mining and Extraction,32,4.3
2006,9,Mining and Extraction,14,2.1
2006,10,Mining and Extraction,15,2.2
2006,11,Mining and Extraction,22,2.9
2006,12,Mining and Extraction,25,3.4
2007,1,Mining and Extraction,35,4.7
2007,2,Mining and Extraction,33,4.5
2007,3,Mining and Extraction,24,3.2
2007,4,Mining and Extraction,17,2.3
2007,5,Mining and Extraction,22,3.0
2007,6,Mining and Extraction,33,4.3
2007,7,Mining and Extraction,33,4.3
2007,8,Mining and Extraction,33,4.6
2007,9,Mining and Extraction,25,3.2
2007,10,Mining and Extraction,9,1.3
2007,11,Mining and Extraction,16,2.3
2007,12,Mining and Extraction,24,3.4
2008,1,Mining and Extraction,28,4.0
2008,2,Mining and Extraction,16,2.2
2008,3,Mining and Extraction,28,3.7
2008,4,Mining and Extraction,28,3.6
2008,5,Mining and Extraction,28,3.4
2008,6,Mining and Extraction,28,3.3
2008,7,Mining and Extraction,13,1.5
2008,8,Mining and Extraction,17,1.9
2008,9,Mining and Extraction,25,2.8
2008,10,Mining and Extraction,15,1.7
2008,11,Mining and Extraction,32,3.7
2008,12,Mining and Extraction,46,5.2
2009,1,Mining and Extraction,59,7.0
2009,2,Mining and Extraction,63,7.6
2009,3,Mining and Extraction,105,12.6
2009,4,Mining and Extraction,125,16.1
2009,5,Mining and Extraction,98,13.3
2009,6,Mining and Extraction,100,13.6
2009,7,Mining and Extraction,95,12.6
2009,8,Mining and Extraction,93,11.8
2009,9,Mining and Extraction,76,10.7
2009,10,Mining and Extraction,84,10.8
2009,11,Mining and Extraction,96,12.0
2009,12,Mining and Extraction,89,11.8
2010,1,Mining and Extraction,68,9.1
2010,2,Mining and Extraction,79,10.7
2000,1,Construction,745,9.7
2000,2,Construction,812,10.6
2000,3,Construction,669,8.7
2000,4,Construction,447,5.8
2000,5,Construction,397,5.0
2000,6,Construction,389,4.6
2000,7,Construction,384,4.4
2000,8,Construction,446,5.1
2000,9,Construction,386,4.6
2000,10,Construction,417,4.9
2000,11,Construction,482,5.7
2000,12,Construction,580,6.8
2001,1,Construction,836,9.8
2001,2,Construction,826,9.9
2001,3,Construction,683,8.4
2001,4,Construction,596,7.1
2001,5,Construction,478,5.6
2001,6,Construction,443,5.1
2001,7,Construction,447,4.9
2001,8,Construction,522,5.8
2001,9,Construction,489,5.5
2001,10,Construction,535,6.1
2001,11,Construction,670,7.6
2001,12,Construction,785,9.0
2002,1,Construction,1211,13.6
2002,2,Construction,1060,12.2
2002,3,Construction,1009,11.8
2002,4,Construction,855,10.1
2002,5,Construction,626,7.4
2002,6,Construction,593,6.9
2002,7,Construction,594,6.9
2002,8,Construction,654,7.4
2002,9,Construction,615,7.0
2002,10,Construction,680,7.7
2002,11,Construction,758,8.5
2002,12,Construction,941,10.9
2003,1,Construction,1196,14.0
2003,2,Construction,1173,14.0
2003,3,Construction,987,11.8
2003,4,Construction,772,9.3
2003,5,Construction,715,8.4
2003,6,Construction,710,7.9
2003,7,Construction,677,7.5
2003,8,Construction,650,7.1
2003,9,Construction,681,7.6
2003,10,Construction,651,7.4
2003,11,Construction,690,7.8
2003,12,Construction,813,9.3
2004,1,Construction,994,11.3
2004,2,Construction,1039,11.6
2004,3,Construction,1011,11.3
2004,4,Construction,849,9.5
2004,5,Construction,665,7.4
2004,6,Construction,668,7.0
2004,7,Construction,610,6.4
2004,8,Construction,563,6.0
2004,9,Construction,629,6.8
2004,10,Construction,635,6.9
2004,11,Construction,695,7.4
2004,12,Construction,870,9.5
2005,1,Construction,1079,11.8
2005,2,Construction,1150,12.3
2005,3,Construction,961,10.3
2005,4,Construction,693,7.4
2005,5,Construction,567,6.1
2005,6,Construction,559,5.7
2005,7,Construction,509,5.2
2005,8,Construction,561,5.7
2005,9,Construction,572,5.7
2005,10,Construction,519,5.3
2005,11,Construction,564,5.7
2005,12,Construction,813,8.2
2006,1,Construction,868,9.0
2006,2,Construction,836,8.6
2006,3,Construction,820,8.5
2006,4,Construction,674,6.9
2006,5,Construction,647,6.6
2006,6,Construction,569,5.6
2006,7,Construction,633,6.1
2006,8,Construction,618,5.9
2006,9,Construction,586,5.6
2006,10,Construction,456,4.5
2006,11,Construction,618,6.0
2006,12,Construction,725,6.9
2007,1,Construction,922,8.9
2007,2,Construction,1086,10.5
2007,3,Construction,924,9.0
2007,4,Construction,853,8.6
2007,5,Construction,676,6.9
2007,6,Construction,600,5.9
2007,7,Construction,617,5.9
2007,8,Construction,558,5.3
2007,9,Construction,596,5.8
2007,10,Construction,641,6.1
2007,11,Construction,645,6.2
2007,12,Construction,968,9.4
2008,1,Construction,1099,11.0
2008,2,Construction,1118,11.4
2008,3,Construction,1170,12.0
2008,4,Construction,1057,11.1
2008,5,Construction,809,8.6
2008,6,Construction,785,8.2
2008,7,Construction,783,8.0
2008,8,Construction,814,8.2
2008,9,Construction,970,9.9
2008,10,Construction,1078,10.8
2008,11,Construction,1237,12.7
2008,12,Construction,1438,15.3
2009,1,Construction,1744,18.2
2009,2,Construction,2025,21.4
2009,3,Construction,1979,21.1
2009,4,Construction,1737,18.7
2009,5,Construction,1768,19.2
2009,6,Construction,1601,17.4
2009,7,Construction,1687,18.2
2009,8,Construction,1542,16.5
2009,9,Construction,1594,17.1
2009,10,Construction,1744,18.7
2009,11,Construction,1780,19.4
2009,12,Construction,2044,22.7
2010,1,Construction,2194,24.7
2010,2,Construction,2440,27.1
2000,1,Manufacturing,734,3.6
2000,2,Manufacturing,694,3.4
2000,3,Manufacturing,739,3.6
2000,4,Manufacturing,736,3.7
2000,5,Manufacturing,685,3.4
2000,6,Manufacturing,621,3.1
2000,7,Manufacturing,708,3.6
2000,8,Manufacturing,685,3.4
2000,9,Manufacturing,667,3.4
2000,10,Manufacturing,693,3.6
2000,11,Manufacturing,672,3.4
2000,12,Manufacturing,653,3.3
2001,1,Manufacturing,911,4.6
2001,2,Manufacturing,902,4.6
2001,3,Manufacturing,954,4.9
2001,4,Manufacturing,855,4.4
2001,5,Manufacturing,903,4.7
2001,6,Manufacturing,956,5.0
2001,7,Manufacturing,1054,5.6
2001,8,Manufacturing,1023,5.5
2001,9,Manufacturing,996,5.4
2001,10,Manufacturing,1065,5.8
2001,11,Manufacturing,1108,6.0
2001,12,Manufacturing,1172,6.3
2002,1,Manufacturing,1377,7.4
2002,2,Manufacturing,1296,7.0
2002,3,Manufacturing,1367,7.3
2002,4,Manufacturing,1322,7.2
2002,5,Manufacturing,1194,6.6
2002,6,Manufacturing,1187,6.6
2002,7,Manufacturing,1185,6.6
2002,8,Manufacturing,1108,6.2
2002,9,Manufacturing,1076,6.1
2002,10,Manufacturing,1046,5.9
2002,11,Manufacturing,1115,6.3
2002,12,Manufacturing,1188,6.6
2003,1,Manufacturing,1302,7.2
2003,2,Manufacturing,1229,6.7
2003,3,Manufacturing,1222,6.8
2003,4,Manufacturing,1199,6.7
2003,5,Manufacturing,1150,6.5
2003,6,Manufacturing,1232,7.0
2003,7,Manufacturing,1193,6.9
2003,8,Manufacturing,1186,6.7
2003,9,Manufacturing,1175,6.8
2003,10,Manufacturing,1041,6.0
2003,11,Manufacturing,1034,5.9
2003,12,Manufacturing,1025,5.9
2004,1,Manufacturing,1110,6.4
2004,2,Manufacturing,1094,6.3
2004,3,Manufacturing,1083,6.3
2004,4,Manufacturing,1004,5.8
2004,5,Manufacturing,966,5.6
2004,6,Manufacturing,957,5.6
2004,7,Manufacturing,1019,6.0
2004,8,Manufacturing,840,4.9
2004,9,Manufacturing,852,5.0
2004,10,Manufacturing,884,5.3
2004,11,Manufacturing,905,5.4
2004,12,Manufacturing,872,5.1
2005,1,Manufacturing,889,5.3
2005,2,Manufacturing,889,5.3
2005,3,Manufacturing,879,5.3
2005,4,Manufacturing,793,4.8
2005,5,Manufacturing,743,4.5
2005,6,Manufacturing,743,4.4
2005,7,Manufacturing,883,5.3
2005,8,Manufacturing,767,4.7
2005,9,Manufacturing,775,4.7
2005,10,Manufacturing,800,4.8
2005,11,Manufacturing,823,4.9
2005,12,Manufacturing,757,4.5
2006,1,Manufacturing,778,4.6
2006,2,Manufacturing,821,4.9
2006,3,Manufacturing,701,4.1
2006,4,Manufacturing,745,4.5
2006,5,Manufacturing,680,4.1
2006,6,Manufacturing,635,3.8
2006,7,Manufacturing,736,4.4
2006,8,Manufacturing,680,4.1
2006,9,Manufacturing,632,3.8
2006,10,Manufacturing,618,3.7
2006,11,Manufacturing,702,4.3
2006,12,Manufacturing,660,4.0
2007,1,Manufacturing,752,4.6
2007,2,Manufacturing,774,4.7
2007,3,Manufacturing,742,4.5
2007,4,Manufacturing,749,4.6
2007,5,Manufacturing,651,3.9
2007,6,Manufacturing,653,4.0
2007,7,Manufacturing,621,3.7
2007,8,Manufacturing,596,3.6
2007,9,Manufacturing,673,4.1
2007,10,Manufacturing,729,4.3
2007,11,Manufacturing,762,4.5
2007,12,Manufacturing,772,4.6
2008,1,Manufacturing,837,5.1
2008,2,Manufacturing,820,5.0
2008,3,Manufacturing,831,5.0
2008,4,Manufacturing,796,4.8
2008,5,Manufacturing,879,5.3
2008,6,Manufacturing,862,5.2
2008,7,Manufacturing,908,5.5
2008,8,Manufacturing,960,5.7
2008,9,Manufacturing,984,6.0
2008,10,Manufacturing,1007,6.2
2008,11,Manufacturing,1144,7.0
2008,12,Manufacturing,1315,8.3
2009,1,Manufacturing,1711,10.9
2009,2,Manufacturing,1822,11.5
2009,3,Manufacturing,1912,12.2
2009,4,Manufacturing,1968,12.4
2009,5,Manufacturing,2010,12.6
2009,6,Manufacturing,2010,12.6
2009,7,Manufacturing,1988,12.4
2009,8,Manufacturing,1866,11.8
2009,9,Manufacturing,1876,11.9
2009,10,Manufacturing,1884,12.2
2009,11,Manufacturing,1882,12.5
2009,12,Manufacturing,1747,11.9
2010,1,Manufacturing,1918,13.0
2010,2,Manufacturing,1814,12.1
2000,1,Wholesale and Retail Trade,1000,5.0
2000,2,Wholesale and Retail Trade,1023,5.2
2000,3,Wholesale and Retail Trade,983,5.1
2000,4,Wholesale and Retail Trade,793,4.1
2000,5,Wholesale and Retail Trade,821,4.3
2000,6,Wholesale and Retail Trade,837,4.4
2000,7,Wholesale and Retail Trade,792,4.1
2000,8,Wholesale and Retail Trade,853,4.3
2000,9,Wholesale and Retail Trade,791,4.1
2000,10,Wholesale and Retail Trade,739,3.7
2000,11,Wholesale and Retail Trade,701,3.6
2000,12,Wholesale and Retail Trade,715,3.7
2001,1,Wholesale and Retail Trade,908,4.7
2001,2,Wholesale and Retail Trade,990,5.2
2001,3,Wholesale and Retail Trade,1037,5.4
2001,4,Wholesale and Retail Trade,820,4.3
2001,5,Wholesale and Retail Trade,875,4.5
2001,6,Wholesale and Retail Trade,955,4.9
2001,7,Wholesale and Retail Trade,833,4.3
2001,8,Wholesale and Retail Trade,928,4.8
2001,9,Wholesale and Retail Trade,936,4.8
2001,10,Wholesale and Retail Trade,941,4.8
2001,11,Wholesale and Retail Trade,1046,5.3
2001,12,Wholesale and Retail Trade,1074,5.4
2002,1,Wholesale and Retail Trade,1212,6.3
2002,2,Wholesale and Retail Trade,1264,6.6
2002,3,Wholesale and Retail Trade,1269,6.6
2002,4,Wholesale and Retail Trade,1222,6.4
2002,5,Wholesale and Retail Trade,1138,5.8
2002,6,Wholesale and Retail Trade,1240,6.2
2002,7,Wholesale and Retail Trade,1132,5.6
2002,8,Wholesale and Retail Trade,1170,5.8
2002,9,Wholesale and Retail Trade,1171,5.9
2002,10,Wholesale and Retail Trade,1212,6.1
2002,11,Wholesale and Retail Trade,1242,6.2
2002,12,Wholesale and Retail Trade,1150,5.7
2003,1,Wholesale and Retail Trade,1342,6.7
2003,2,Wholesale and Retail Trade,1238,6.1
2003,3,Wholesale and Retail Trade,1179,5.9
2003,4,Wholesale and Retail Trade,1201,6.0
2003,5,Wholesale and Retail Trade,1247,6.2
2003,6,Wholesale and Retail Trade,1434,6.9
2003,7,Wholesale and Retail Trade,1387,6.6
2003,8,Wholesale and Retail Trade,1161,5.6
2003,9,Wholesale and Retail Trade,1229,5.9
2003,10,Wholesale and Retail Trade,1189,5.7
2003,11,Wholesale and Retail Trade,1156,5.4
2003,12,Wholesale and Retail Trade,1081,5.0
2004,1,Wholesale and Retail Trade,1389,6.5
2004,2,Wholesale and Retail Trade,1369,6.5
2004,3,Wholesale and Retail Trade,1386,6.8
2004,4,Wholesale and Retail Trade,1248,6.1
2004,5,Wholesale and Retail Trade,1183,5.8
2004,6,Wholesale and Retail Trade,1182,5.8
2004,7,Wholesale and Retail Trade,1163,5.5
2004,8,Wholesale and Retail Trade,1079,5.1
2004,9,Wholesale and Retail Trade,1127,5.5
2004,10,Wholesale and Retail Trade,1138,5.4
2004,11,Wholesale and Retail Trade,1045,5.0
2004,12,Wholesale and Retail Trade,1058,5.0
2005,1,Wholesale and Retail Trade,1302,6.3
2005,2,Wholesale and Retail Trade,1301,6.2
2005,3,Wholesale and Retail Trade,1173,5.6
2005,4,Wholesale and Retail Trade,1131,5.4
2005,5,Wholesale and Retail Trade,1145,5.4
2005,6,Wholesale and Retail Trade,1197,5.7
2005,7,Wholesale and Retail Trade,1194,5.6
2005,8,Wholesale and Retail Trade,1130,5.3
2005,9,Wholesale and Retail Trade,1038,4.9
2005,10,Wholesale and Retail Trade,1050,4.9
2005,11,Wholesale and Retail Trade,1013,4.7
2005,12,Wholesale and Retail Trade,968,4.5
2006,1,Wholesale and Retail Trade,1203,5.7
2006,2,Wholesale and Retail Trade,1141,5.4
2006,3,Wholesale and Retail Trade,1022,4.9
2006,4,Wholesale and Retail Trade,972,4.6
2006,5,Wholesale and Retail Trade,1025,4.8
2006,6,Wholesale and Retail Trade,1085,5.1
2006,7,Wholesale and Retail Trade,1083,5.1
2006,8,Wholesale and Retail Trade,977,4.7
2006,9,Wholesale and Retail Trade,1008,4.9
2006,10,Wholesale and Retail Trade,972,4.7
2006,11,Wholesale and Retail Trade,1018,4.8
2006,12,Wholesale and Retail Trade,965,4.5
2007,1,Wholesale and Retail Trade,1166,5.5
2007,2,Wholesale and Retail Trade,1045,5.1
2007,3,Wholesale and Retail Trade,896,4.4
2007,4,Wholesale and Retail Trade,872,4.2
2007,5,Wholesale and Retail Trade,795,3.9
2007,6,Wholesale and Retail Trade,979,4.6
2007,7,Wholesale and Retail Trade,1089,5.2
2007,8,Wholesale and Retail Trade,1028,5.1
2007,9,Wholesale and Retail Trade,1027,5.1
2007,10,Wholesale and Retail Trade,907,4.4
2007,11,Wholesale and Retail Trade,893,4.3
2007,12,Wholesale and Retail Trade,1009,4.8
2008,1,Wholesale and Retail Trade,1120,5.4
2008,2,Wholesale and Retail Trade,1007,4.9
2008,3,Wholesale and Retail Trade,992,4.9
2008,4,Wholesale and Retail Trade,919,4.5
2008,5,Wholesale and Retail Trade,1049,5.2
2008,6,Wholesale and Retail Trade,1160,5.7
2008,7,Wholesale and Retail Trade,1329,6.5
2008,8,Wholesale and Retail Trade,1366,6.6
2008,9,Wholesale and Retail Trade,1277,6.2
2008,10,Wholesale and Retail Trade,1313,6.3
2008,11,Wholesale and Retail Trade,1397,6.7
2008,12,Wholesale and Retail Trade,1535,7.2
2009,1,Wholesale and Retail Trade,1794,8.7
2009,2,Wholesale and Retail Trade,1847,8.9
2009,3,Wholesale and Retail Trade,1852,9.0
2009,4,Wholesale and Retail Trade,1833,9.0
2009,5,Wholesale and Retail Trade,1835,9.0
2009,6,Wholesale and Retail Trade,1863,9.1
2009,7,Wholesale and Retail Trade,1854,9.0
2009,8,Wholesale and Retail Trade,1794,8.8
2009,9,Wholesale and Retail Trade,1809,9.0
2009,10,Wholesale and Retail Trade,1919,9.6
2009,11,Wholesale and Retail Trade,1879,9.2
2009,12,Wholesale and Retail Trade,1851,9.1
2010,1,Wholesale and Retail Trade,2154,10.5
2010,2,Wholesale and Retail Trade,2071,10.0
2000,1,Transportation and Utilities,236,4.3
2000,2,Transportation and Utilities,223,4.0
2000,3,Transportation and Utilities,192,3.5
2000,4,Transportation and Utilities,191,3.4
2000,5,Transportation and Utilities,190,3.4
2000,6,Transportation and Utilities,183,3.2
2000,7,Transportation and Utilities,228,3.9
2000,8,Transportation and Utilities,198,3.4
2000,9,Transportation and Utilities,231,4.0
2000,10,Transportation and Utilities,153,2.8
2000,11,Transportation and Utilities,129,2.3
2000,12,Transportation and Utilities,168,3.1
2001,1,Transportation and Utilities,194,3.6
2001,2,Transportation and Utilities,189,3.4
2001,3,Transportation and Utilities,193,3.5
2001,4,Transportation and Utilities,232,4.2
2001,5,Transportation and Utilities,178,3.1
2001,6,Transportation and Utilities,242,4.3
2001,7,Transportation and Utilities,236,4.2
2001,8,Transportation and Utilities,226,3.9
2001,9,Transportation and Utilities,214,3.9
2001,10,Transportation and Utilities,321,5.8
2001,11,Transportation and Utilities,302,5.4
2001,12,Transportation and Utilities,310,5.6
2002,1,Transportation and Utilities,368,6.6
2002,2,Transportation and Utilities,331,5.7
2002,3,Transportation and Utilities,313,5.6
2002,4,Transportation and Utilities,280,5.0
2002,5,Transportation and Utilities,257,4.5
2002,6,Transportation and Utilities,274,4.9
2002,7,Transportation and Utilities,270,4.9
2002,8,Transportation and Utilities,221,3.9
2002,9,Transportation and Utilities,235,4.2
2002,10,Transportation and Utilities,262,4.7
2002,11,Transportation and Utilities,233,4.2
2002,12,Transportation and Utilities,243,4.6
2003,1,Transportation and Utilities,331,6.3
2003,2,Transportation and Utilities,316,5.8
2003,3,Transportation and Utilities,319,5.9
2003,4,Transportation and Utilities,274,5.0
2003,5,Transportation and Utilities,260,4.9
2003,6,Transportation and Utilities,300,5.5
2003,7,Transportation and Utilities,289,5.4
2003,8,Transportation and Utilities,255,4.8
2003,9,Transportation and Utilities,255,4.7
2003,10,Transportation and Utilities,260,4.8
2003,11,Transportation and Utilities,275,5.1
2003,12,Transportation and Utilities,267,5.0
2004,1,Transportation and Utilities,243,4.6
2004,2,Transportation and Utilities,291,5.5
2004,3,Transportation and Utilities,284,5.4
2004,4,Transportation and Utilities,239,4.5
2004,5,Transportation and Utilities,230,4.4
2004,6,Transportation and Utilities,227,4.3
2004,7,Transportation and Utilities,231,4.3
2004,8,Transportation and Utilities,236,4.4
2004,9,Transportation and Utilities,208,3.9
2004,10,Transportation and Utilities,219,4.0
2004,11,Transportation and Utilities,217,4.0
2004,12,Transportation and Utilities,204,3.8
2005,1,Transportation and Utilities,276,5.0
2005,2,Transportation and Utilities,245,4.4
2005,3,Transportation and Utilities,267,4.8
2005,4,Transportation and Utilities,257,4.7
2005,5,Transportation and Utilities,223,4.1
2005,6,Transportation and Utilities,247,4.5
2005,7,Transportation and Utilities,222,3.9
2005,8,Transportation and Utilities,187,3.3
2005,9,Transportation and Utilities,211,3.7
2005,10,Transportation and Utilities,251,4.4
2005,11,Transportation and Utilities,199,3.5
2005,12,Transportation and Utilities,202,3.6
2006,1,Transportation and Utilities,287,5.0
2006,2,Transportation and Utilities,260,4.6
2006,3,Transportation and Utilities,263,4.7
2006,4,Transportation and Utilities,272,4.8
2006,5,Transportation and Utilities,226,4.0
2006,6,Transportation and Utilities,225,3.9
2006,7,Transportation and Utilities,237,4.2
2006,8,Transportation and Utilities,217,3.7
2006,9,Transportation and Utilities,183,3.1
2006,10,Transportation and Utilities,206,3.6
2006,11,Transportation and Utilities,183,3.1
2006,12,Transportation and Utilities,190,3.2
2007,1,Transportation and Utilities,248,4.2
2007,2,Transportation and Utilities,251,4.2
2007,3,Transportation and Utilities,249,4.3
2007,4,Transportation and Utilities,188,3.3
2007,5,Transportation and Utilities,216,3.8
2007,6,Transportation and Utilities,242,4.1
2007,7,Transportation and Utilities,309,5.1
2007,8,Transportation and Utilities,205,3.4
2007,9,Transportation and Utilities,224,3.7
2007,10,Transportation and Utilities,218,3.6
2007,11,Transportation and Utilities,242,3.9
2007,12,Transportation and Utilities,210,3.4
2008,1,Transportation and Utilities,271,4.4
2008,2,Transportation and Utilities,289,4.6
2008,3,Transportation and Utilities,267,4.3
2008,4,Transportation and Utilities,245,4.0
2008,5,Transportation and Utilities,269,4.3
2008,6,Transportation and Utilities,329,5.1
2008,7,Transportation and Utilities,359,5.7
2008,8,Transportation and Utilities,309,5.2
2008,9,Transportation and Utilities,337,5.8
2008,10,Transportation and Utilities,316,5.7
2008,11,Transportation and Utilities,331,5.8
2008,12,Transportation and Utilities,421,6.7
2009,1,Transportation and Utilities,522,8.4
2009,2,Transportation and Utilities,563,9.1
2009,3,Transportation and Utilities,558,9.0
2009,4,Transportation and Utilities,541,9.0
2009,5,Transportation and Utilities,506,8.5
2009,6,Transportation and Utilities,499,8.4
2009,7,Transportation and Utilities,511,8.8
2009,8,Transportation and Utilities,547,9.8
2009,9,Transportation and Utilities,538,9.5
2009,10,Transportation and Utilities,480,8.6
2009,11,Transportation and Utilities,493,8.5
2009,12,Transportation and Utilities,539,9.0
2010,1,Transportation and Utilities,657,11.3
2010,2,Transportation and Utilities,591,10.5
2000,1,Information,125,3.4
2000,2,Information,112,2.9
2000,3,Information,140,3.6
2000,4,Information,95,2.4
2000,5,Information,131,3.5
2000,6,Information,102,2.6
2000,7,Information,144,3.6
2000,8,Information,143,3.7
2000,9,Information,130,3.3
